"","municipio","codEstacao","Dia","PrecD"
"1","Maceió","270430203A","01",0
"2","Maceió","270430203A","02",0
"3","Maceió","270430203A","03",4.920748369
"4","Maceió","270430203A","04",0
"5","Maceió","270430203A","05",0
"6","Maceió","270430203A","06",7.290594303
"7","Maceió","270430203A","07",0
"8","Maceió","270430203A","08",0
"9","Maceió","270430203A","09",0
"10","Maceió","270430203A","10",0
"11","Maceió","270430203A","11",0
"12","Maceió","270430203A","12",0.987536531
"13","Maceió","270430203A","13",0
"14","Maceió","270430203A","14",17.397134113
"15","Maceió","270430203A","15",3.560552842
"16","Maceió","270430203A","16",16.550654379
"17","Maceió","270430203A","17",0
"18","Maceió","270430203A","18",0
"19","Maceió","270430203A","19",0.2
"20","Maceió","270430203A","20",31.78550077
"21","Maceió","270430203A","21",23.655652999
"22","Maceió","270430203A","22",14.042201298
"23","Maceió","270430203A","23",1.179072635
"24","Maceió","270430203A","24",0
"25","Maceió","270430203A","25",0
"26","Maceió","270430203A","26",0
"27","Maceió","270430203A","27",0
"28","Maceió","270430203A","28",15.225015334
"29","Maceió","270430203A","29",25.819682601
"30","Maceió","270430203A","30",28.76315598
"31","Maceió","270430205A","01",0
"32","Maceió","270430205A","02",0
"33","Maceió","270430205A","03",2.757797061
"34","Maceió","270430205A","04",0
"35","Maceió","270430205A","05",0.2
"36","Maceió","270430205A","06",48.898215714
"37","Maceió","270430205A","07",0
"38","Maceió","270430205A","08",0
"39","Maceió","270430205A","09",0
"40","Maceió","270430205A","10",0
"41","Maceió","270430205A","11",1.771592579
"42","Maceió","270430205A","12",2.772432272
"43","Maceió","270430205A","13",0.4
"44","Maceió","270430205A","14",6.727523816
"45","Maceió","270430205A","15",2.169843355
"46","Maceió","270430205A","16",20.10242325
"47","Maceió","270430205A","17",1.578595189
"48","Maceió","270430205A","18",1.37804
"49","Maceió","270430205A","19",0
"50","Maceió","270430205A","20",9.671738119
"51","Maceió","270430205A","21",5.321492879
"52","Maceió","270430205A","22",13.213528907
"53","Maceió","270430205A","23",12.416000773
"54","Maceió","270430205A","24",0
"55","Maceió","270430205A","25",0
"56","Maceió","270430205A","26",0
"57","Maceió","270430205A","27",0
"58","Maceió","270430205A","28",22.302091389
"59","Maceió","270430205A","29",24.817139861
"60","Maceió","270430205A","30",33.892880306
"61","Maceió","270430207A","01",0
"62","Maceió","270430207A","02",0
"63","Maceió","270430207A","03",2.761943404
"64","Maceió","270430207A","04",0
"65","Maceió","270430207A","05",0
"66","Maceió","270430207A","06",26.612660738
"67","Maceió","270430207A","07",0
"68","Maceió","270430207A","08",0
"69","Maceió","270430207A","09",1.184086737
"70","Maceió","270430207A","10",0.2
"71","Maceió","270430207A","11",0
"72","Maceió","270430207A","12",0.998538142
"73","Maceió","270430207A","13",0
"74","Maceió","270430207A","14",11.240045124
"75","Maceió","270430207A","15",1.575298223
"76","Maceió","270430207A","16",11.815297451
"77","Maceió","270430207A","17",0
"78","Maceió","270430207A","18",0
"79","Maceió","270430207A","19",0.2
"80","Maceió","270430207A","20",23.836363833
"81","Maceió","270430207A","21",25.507259533
"82","Maceió","270430207A","22",5.314569797
"83","Maceió","270430207A","23",1.773130213
"84","Maceió","270430207A","24",0
"85","Maceió","270430207A","25",0
"86","Maceió","270430207A","26",0
"87","Maceió","270430207A","27",0
"88","Maceió","270430207A","28",18.515935278
"89","Maceió","270430207A","29",21.647269972
"90","Maceió","270430207A","30",20.702022812
"91","Marechal Deodoro","270470801A","01",0.785583857
"92","Marechal Deodoro","270470801A","02",0
"93","Marechal Deodoro","270470801A","03",2.951413957
"94","Marechal Deodoro","270470801A","04",0
"95","Marechal Deodoro","270470801A","05",0
"96","Marechal Deodoro","270470801A","06",8.865591326
"97","Marechal Deodoro","270470801A","07",0
"98","Marechal Deodoro","270470801A","08",0
"99","Marechal Deodoro","270470801A","09",0
"100","Marechal Deodoro","270470801A","10",0
"101","Marechal Deodoro","270470801A","11",0.98902
"102","Marechal Deodoro","270470801A","12",3.984591926
"103","Marechal Deodoro","270470801A","13",0
"104","Marechal Deodoro","270470801A","14",11.62264269
"105","Marechal Deodoro","270470801A","15",2.368550937
"106","Marechal Deodoro","270470801A","16",12.592785453
"107","Marechal Deodoro","270470801A","17",0.981796269
"108","Marechal Deodoro","270470801A","18",0
"109","Marechal Deodoro","270470801A","19",0
"110","Marechal Deodoro","270470801A","20",1.785684401
"111","Marechal Deodoro","270470801A","21",4.723821935
"112","Marechal Deodoro","270470801A","22",34.60487023
"113","Marechal Deodoro","270470801A","23",6.503281306
"114","Marechal Deodoro","270470801A","24",0
"115","Marechal Deodoro","270470801A","25",0
"116","Marechal Deodoro","270470801A","26",0
"117","Marechal Deodoro","270470801A","27",0
"118","Marechal Deodoro","270470801A","28",40.870155368
"119","Marechal Deodoro","270470801A","29",25.066289308
"120","Marechal Deodoro","270470801A","30",15.982867677
"121","Murici","270550701A","01",0.590936243
"122","Murici","270550701A","02",0
"123","Murici","270550701A","03",0.393114856
"124","Murici","270550701A","04",0
"125","Murici","270550701A","05",0
"126","Murici","270550701A","06",0
"127","Murici","270550701A","07",0
"128","Murici","270550701A","08",0
"129","Murici","270550701A","09",0
"130","Murici","270550701A","10",0.2
"131","Murici","270550701A","11",0.2
"132","Murici","270550701A","12",8.105900015
"133","Murici","270550701A","13",4.920875188
"134","Murici","270550701A","14",2.954108165
"135","Murici","270550701A","15",4.718187127
"136","Murici","270550701A","16",14.821870105
"137","Murici","270550701A","17",1.973913739
"138","Murici","270550701A","18",0
"139","Murici","270550701A","19",0
"140","Murici","270550701A","20",0.98902
"141","Murici","270550701A","21",0.2
"142","Murici","270550701A","22",8.852766771
"143","Murici","270550701A","23",5.915211438
"144","Murici","270550701A","24",0
"145","Murici","270550701A","25",0
"146","Murici","270550701A","26",0
"147","Murici","270550701A","27",1.972811
