;municipio;codEstacao;Dia;PrecD
1;BARRA DE SÃO MIGUEL;270060701A;1;0,2
2;BARRA DE SÃO MIGUEL;270060701A;2;1,02
3;BARRA DE SÃO MIGUEL;270060701A;3;1,59
4;BARRA DE SÃO MIGUEL;270060701A;4;4,75
5;BARRA DE SÃO MIGUEL;270060701A;5;3,38
6;BARRA DE SÃO MIGUEL;270060701A;6;1,97
7;BARRA DE SÃO MIGUEL;270060701A;7;0,2
8;BARRA DE SÃO MIGUEL;270060701A;8;0
9;BARRA DE SÃO MIGUEL;270060701A;9;0
10;BARRA DE SÃO MIGUEL;270060701A;10;0
11;BARRA DE SÃO MIGUEL;270060701A;11;0
12;BARRA DE SÃO MIGUEL;270060701A;12;0
13;BARRA DE SÃO MIGUEL;270060701A;13;7,97
14;BARRA DE SÃO MIGUEL;270060701A;14;3,77
15;BARRA DE SÃO MIGUEL;270060701A;15;8,12
16;BARRA DE SÃO MIGUEL;270060701A;16;0,79
17;BARRA DE SÃO MIGUEL;270060701A;17;1,38
18;BARRA DE SÃO MIGUEL;270060701A;18;1,21
19;BARRA DE SÃO MIGUEL;270060701A;19;10,69
20;BARRA DE SÃO MIGUEL;270060701A;20;3,55
21;BARRA DE SÃO MIGUEL;270060701A;21;2,95
22;BARRA DE SÃO MIGUEL;270060701A;22;6,33
23;BARRA DE SÃO MIGUEL;270060701A;23;0,98
24;BARRA DE SÃO MIGUEL;270060701A;24;3,36
25;BARRA DE SÃO MIGUEL;270060701A;25;1,18
26;BARRA DE SÃO MIGUEL;270060701A;26;1,57
27;BARRA DE SÃO MIGUEL;270060701A;27;3,18
28;BARRA DE SÃO MIGUEL;270060701A;28;4,14
29;BARRA DE SÃO MIGUEL;270060701A;29;0
30;BARRA DE SÃO MIGUEL;270060701A;30;2,17
31;BRANQUINHA;270110001A;1;0
32;BRANQUINHA;270110001A;2;0
33;BRANQUINHA;270110001A;3;0
34;BRANQUINHA;270110001A;4;0
35;BRANQUINHA;270110001A;5;0
36;BRANQUINHA;270110001A;6;0
37;BRANQUINHA;270110001A;7;0
38;BRANQUINHA;270110001A;8;0
39;BRANQUINHA;270110001A;9;0
40;BRANQUINHA;270110001A;10;0
41;BRANQUINHA;270110001A;11;0
42;BRANQUINHA;270110001A;12;0
43;BRANQUINHA;270110001A;13;0
44;BRANQUINHA;270110001A;14;0
45;BRANQUINHA;270110001A;15;0
46;BRANQUINHA;270110001A;16;0
47;BRANQUINHA;270110001A;17;0
48;BRANQUINHA;270110001A;18;0
49;BRANQUINHA;270110001A;19;0
50;BRANQUINHA;270110001A;20;0
51;BRANQUINHA;270110001A;21;0
52;BRANQUINHA;270110001A;22;0
53;BRANQUINHA;270110001A;23;0
54;BRANQUINHA;270110001A;24;0
55;BRANQUINHA;270110001A;25;0
56;BRANQUINHA;270110001A;26;0
57;BRANQUINHA;270110001A;27;0
58;BRANQUINHA;270110001A;28;0
59;BRANQUINHA;270110001A;29;0
60;BRANQUINHA;270110001A;30;0
