;municipio;codEstacao;Dia;PrecD
1;ARAPIRACA;270030001C;1;5,4
2;ARAPIRACA;270030001C;2;10,6
3;ARAPIRACA;270030001C;3;3
4;ARAPIRACA;270030001C;4;0
5;ARAPIRACA;270030001C;5;0
6;ARAPIRACA;270030001C;6;0,2
7;ARAPIRACA;270030001C;7;4,2
8;ARAPIRACA;270030001C;8;0,6
9;ARAPIRACA;270030001C;9;6
10;ARAPIRACA;270030001C;10;6,2
11;ARAPIRACA;270030001C;11;16,4
12;ARAPIRACA;270030001C;12;2,4
13;ARAPIRACA;270030001C;13;1,2
14;ARAPIRACA;270030001C;14;2,8
15;ARAPIRACA;270030001C;15;0,4
16;ARAPIRACA;270030001C;16;3
17;ARAPIRACA;270030001C;17;5,4
18;ARAPIRACA;270030001C;18;5
19;ARAPIRACA;270030001C;19;0,8
20;ARAPIRACA;270030001C;20;0
21;ARAPIRACA;270030001C;21;0,2
22;ARAPIRACA;270030001C;22;0,4
23;ARAPIRACA;270030001C;23;0,8
24;ARAPIRACA;270030001C;24;0
25;ARAPIRACA;270030001C;25;0
26;ARAPIRACA;270030001C;26;0
27;ARAPIRACA;270030001C;27;0
28;ARAPIRACA;270030001C;28;0
29;ARAPIRACA;270030001C;29;0
30;ARAPIRACA;270030001C;30;0
31;ARAPIRACA;270030001C;31;2,2
32;BARRA DE SÃO MIGUEL;270060701A;1;7,51
33;BARRA DE SÃO MIGUEL;270060701A;2;4,73
34;BARRA DE SÃO MIGUEL;270060701A;3;4,95
35;BARRA DE SÃO MIGUEL;270060701A;4;0,4
36;BARRA DE SÃO MIGUEL;270060701A;5;0
37;BARRA DE SÃO MIGUEL;270060701A;6;2,17
38;BARRA DE SÃO MIGUEL;270060701A;7;0,6
39;BARRA DE SÃO MIGUEL;270060701A;8;1,39
40;BARRA DE SÃO MIGUEL;270060701A;9;0,6
41;BARRA DE SÃO MIGUEL;270060701A;10;1,98
42;BARRA DE SÃO MIGUEL;270060701A;11;9,35
43;BARRA DE SÃO MIGUEL;270060701A;12;1,18
44;BARRA DE SÃO MIGUEL;270060701A;13;5,91
45;BARRA DE SÃO MIGUEL;270060701A;14;1,77
46;BARRA DE SÃO MIGUEL;270060701A;15;1,19
47;BARRA DE SÃO MIGUEL;270060701A;16;2,18
48;BARRA DE SÃO MIGUEL;270060701A;17;8,3
49;BARRA DE SÃO MIGUEL;270060701A;18;2,01
50;BARRA DE SÃO MIGUEL;270060701A;19;14,4
51;BARRA DE SÃO MIGUEL;270060701A;20;10,17
52;BARRA DE SÃO MIGUEL;270060701A;21;0,2
53;BARRA DE SÃO MIGUEL;270060701A;22;0,98
54;BARRA DE SÃO MIGUEL;270060701A;23;0
55;BARRA DE SÃO MIGUEL;270060701A;24;0
56;BARRA DE SÃO MIGUEL;270060701A;25;0
57;BARRA DE SÃO MIGUEL;270060701A;26;0
58;BARRA DE SÃO MIGUEL;270060701A;27;0
59;BARRA DE SÃO MIGUEL;270060701A;28;0
60;BARRA DE SÃO MIGUEL;270060701A;29;0
61;BARRA DE SÃO MIGUEL;270060701A;30;0
62;BARRA DE SÃO MIGUEL;270060701A;31;5,16
63;BRANQUINHA;270110001A;1;0,4
64;BRANQUINHA;270110001A;2;1
65;BRANQUINHA;270110001A;3;1,4
66;BRANQUINHA;270110001A;4;0,2
67;BRANQUINHA;270110001A;5;0
68;BRANQUINHA;270110001A;6;0,4
