"","municipio","codEstacao","PrecM"
"1","ARAPIRACA","270030001C",0
"2","BARRA DE SÃO MIGUEL","270060701A",125.94
"3","BRANQUINHA","270110001A",24.6
"4","CAJUEIRO","270130801A",163.8
"5","CAMPESTRE","270135701A",135.6
"6","CAPELA","270170401A",146.53
"7","COLÔNIA LEOPOLDINA","270210801A",132.2
"8","CORURIPE","270230602A",146
"9","CORURIPE","270230603A",119.4
"10","CRAÍBAS","270235501C",0
"11","DELMIRO GOUVEIA","270240501C",57
"12","FELIZ DESERTO","270270201A",179
"13","INHAPI","270330401C",29
"14","JOAQUIM GOMES","270380901A",181
"15","LIMOEIRO DE ANADIA","270420301A",122
"16","MACEIÓ","270430202A",208.07
"17","MACEIÓ","270430203A",217.18
"18","MACEIÓ","270430205A",209.14
"19","MACEIÓ","270430207A",211.45
"20","MACEIÓ","270430209A",161.36
"21","MACEIÓ","270430210A",245.03
"22","MACEIÓ","270430211A",148.39
"23","MACEIÓ","270430212A",197.59
"24","MACEIÓ","270430213A",246
"25","MACEIÓ","270430215A",180.8
"26","MACEIÓ","270430216A",183.2
"27","MACEIÓ","270430217A",270.8
"28","MACEIÓ","270430218A",215.2
"29","MARAGOGI","270450001A",185.31
"30","MARAVILHA","270460901C",16.6
"31","MARECHAL DEODORO","270470801A",146.68
"32","MATRIZ DE CAMARAGIBE","270510101A",179.4
"33","MURICI","270550701A",144.89
"34","OURO BRANCO","270610901C",0
"35","PALMEIRA DOS ÍNDIOS","270630701U",95.4
"36","PARIPUEIRA","270644801A",190.6
"37","PAULO JACINTO","270660401A",114.57
"38","PIRANHAS","270710701C",75.8
"39","QUEBRANGULO","270760201A",80.74
"40","SANTANA DO MUNDAÚ","270810501A",110.76
"41","SATUBA","270890701A",158.94
"42","SÃO JOSÉ DA LAJE","270830301A",132
"43","SÃO JOSÉ DA TAPERA","270840201C",130.6
"44","SÃO LUÍS DO QUITUNDE","270850101A",72.97
"45","SÃO MIGUEL DOS CAMPOS","270860001A",210.2
"46","SÃO MIGUEL DOS CAMPOS","270860002A",146.8
"47","UNIÃO DOS PALMARES","270930102A",142.44
"48","UNIÃO DOS PALMARES","270930103A",99.28
"49","VIÇOSA","270940001A",220.8
