"","municipio","codEstacao","Dia","PrecD"
"1","BELMONTE","290340901A","07",1.049
"2","BELMONTE","290340901A","08",0
"3","BELMONTE","290340901A","09",0
"4","BELMONTE","290340901A","10",0
"5","BELMONTE","290340901A","11",0
"6","BELMONTE","290340901A","12",0
"7","BELMONTE","290340901A","13",0
"8","BELMONTE","290340901A","14",0
"9","BELMONTE","290340901A","15",0
"10","BELMONTE","290340901A","16",2.39032
"11","BELMONTE","290340901A","17",1.972983722
"12","BELMONTE","290340901A","18",0.2
"13","BELMONTE","290340901A","19",0
"14","BELMONTE","290340901A","20",0
"15","BELMONTE","290340901A","21",9.649235529
"16","BELMONTE","290340901A","22",13.838768907
"17","BELMONTE","290340901A","23",5.345986703
"18","BELMONTE","290340901A","24",0
"19","BELMONTE","290340901A","25",8.897224647
"20","BELMONTE","290340901A","26",0
"21","BELMONTE","290340901A","27",33.195781387
"22","BELMONTE","290340901A","28",0.4
"23","BELMONTE","290340901A","29",11.482338403
"24","BELMONTE","290340901A","30",26.623670336
"25","BELMONTE","290340901A","31",2.602668471
"26","CAMACAN","290560201A","01",0
"27","CAMACAN","290560201A","02",0
"28","CAMACAN","290560201A","03",0
"29","CAMACAN","290560201A","04",1.381137755
"30","CAMACAN","290560201A","05",11.04304426
"31","CAMACAN","290560201A","06",2.964258645
"32","CAMACAN","290560201A","07",2.767098944
"33","CAMACAN","290560201A","08",8.081305311
"34","CAMACAN","290560201A","09",0.2
"35","CAMACAN","290560201A","10",5.707143747
"36","CAMACAN","290560201A","11",0
"37","CAMACAN","290560201A","12",0
"38","CAMACAN","290560201A","13",5.331451233
"39","CAMACAN","290560201A","14",0.4
"40","CAMACAN","290560201A","15",12.077656742
"41","CAMACAN","290560201A","16",1.4
"42","CAMACAN","290560201A","17",0
"43","CAMACAN","290560201A","18",1.181806781
"44","CAMACAN","290560201A","19",0
"45","CAMACAN","290560201A","20",0.4
"46","CAMACAN","290560201A","21",3.76698509
"47","CAMACAN","290560201A","22",6.520995624
"48","CAMACAN","290560201A","23",5.131002782
"49","CAMACAN","290560201A","24",5.944146922
"50","CAMACAN","290560201A","25",3.19268
"51","CAMACAN","290560201A","26",2.372468301
"52","CAMACAN","290560201A","27",23.779779523
"53","CAMACAN","290560201A","28",6.510922669
"54","CAMACAN","290560201A","29",13.016994053
"55","CAMACAN","290560201A","30",23.012521646
"56","CAMACAN","290560201A","31",0.6
"57","CAMACAN","290560202A","17",1.975546911
"58","CAMACAN","290560202A","18",0.793300716
"59","CAMACAN","290560202A","19",0
"60","CAMACAN","290560202A","20",0
"61","CAMACAN","290560202A","21",3.59432928
"62","CAMACAN","290560202A","22",7.36234
"63","CAMACAN","290560202A","23",4.388748344
"64","CAMACAN","290560202A","24",6.75467652
"65","CAMACAN","290560202A","25",4.557246507
"66","CAMACAN","290560202A","26",2.603079272
"67","CAMACAN","290560202A","27",27.429443547
"68","CAMACAN","290560202A","28",9.136145154
"69","CAMACAN","290560202A","29",16.792841236
"70","CAMACAN","290560202A","30",16.059116437
"71","CAMACAN","290560202A","31",0
