"","municipio","codEstacao","PrecM"
"1","ABARÉ","290020701C",0
"2","ABAÍRA","290010801C",0
"3","AMÉRICA DOURADA","290115501A",0.2
"4","AMÉRICA DOURADA","290115501C",0
"5","ANAGÉ","290120501C",0
"6","ANDARAÍ","290130401C",0.4
"7","ANTAS","290160101C",86.2
"8","ARACATU","290200501C",0
"9","BARRA DA ESTIVA","290280701U",43.4
"10","BARRA DO CHOÇA","290290601C",0
"11","BARRA DO MENDES","290300301C",4
"12","BARRA DO ROCHA","290310201A",99.4
"13","BARRO ALTO","290323501C",0.4
"14","BELMONTE","290340901A",112.95
"15","BIRITINGA","290360701C",5.2
"16","BONITO","290405001C",13.2
"17","BOQUIRA","290410001C",12
"18","BREJÕES","290430801C",4.2
"19","BRUMADO","290460501C",20.4
"20","CACHOEIRA","290490201A",199
"21","CACULÉ","290500801C",3.8
"22","CAETANOS","290515601C",0
"23","CAFARNAUM","290530501C",58.4
"24","CAMACAN","290560202A",94.32
"25","CAMACAN","290560203A",94.94
"26","CAMAMU","290580001A",170.8
"27","CANDEIAS","290650101A",408.61
"28","CANDEIAS","290650102A",431.09
"29","CANDEIAS","290650104A",395.92
"30","CANDEIAS","290650105A",337.21
"31","CANDIBA","290660001C",4.8
"32","CANUDOS","290682401C",44.8
"33","CARAÍBAS","290689901C",9.6
"34","CHORROCHÓ","290770701C",32
"35","CORONEL JOÃO SÁ","290920801C",0
"36","CURAÇÁ","290990101C",0
"37","CÂNDIDO SALES","290670901C",1
"38","CÍCERO DANTAS","290780601C",36
"39","ELÍSIO MEDRADO","291030501C",0
"40","FEIRA DE SANTANA","291080001U",140.8
"41","GANDU","291120401A",90.5
"42","GUAJERU","291165901C",0
"43","GUARATINGA","291180801A",71.6
"44","HELIÓPOLIS","291185701C",80
"45","IAÇU","291190701C",0
"46","IBIPITANGA","291250901C",5.4
"47","IGRAPIÚNA","291345701A",211.4
"48","ILHÉUS","291360601A",209.83
"49","ILHÉUS","291360602A",203.48
"50","INHAMBUPE","291370501C",6.4
"51","IRAJUBA","291420801C",0.2
"52","IRAQUARA","291440601C",0
"53","IRECÊ","291460401C",0
"54","ITABERABA","291470301C",18.4
"55","ITABUNA","291480201A",77.24
"56","ITABUNA","291480202A",86.13
"57","ITABUNA","291480202H",0
"58","ITABUNA","291480203A",57.68
"59","ITACARÉ","291490101A",446.6
"60","ITAGIMIRIM","291530401A",49.27
"61","ITAMARAJU","291560101A",106
"62","ITAMBÉ","291580901C",0
"63","ITAPETINGA","291640101A",38.5
"64","ITAPICURU","291650001C",0.2
"65","ITARANTIM","291680701C",2.8
"66","ITATIM","291685601C",17
"67","ITIRUÇU","291690601C",36.4
"68","ITIÚBA","291700301C",3.8
"69","ITORORÓ","291710201A",34.3
"70","ITORORÓ","291710201C",176.4
"71","IUIÚ","291733401C",0
"72","JACOBINA","291750801A",63.2
"73","JACOBINA","291750801C",0
"74","JACOBINA","291750802A",155.4
"75","JAGUAQUARA","291760701A",25.6
"76","JAGUAQUARA","291760702A",29.6
"77","JOÃO DOURADO","291835701C",0.4
"78","JUAZEIRO","291840701A",28.4
"79","JUAZEIRO","291840704A",10.2
"80","LAFAIETE COUTINHO","291870401C",12.8
"81","LAJEDINHO","291900901A",85.8
"82","LAJEDO DO TABOCAL","291905801C",0
"83","LAMARÃO","291910801C",123
"84","LAPÃO","291915701A",5.6
"85","LAURO DE FREITAS","291920701A",448.04
"86","LAURO DE FREITAS","291920702A",457.87
"87","LAURO DE FREITAS","291920704A",422.89
"88","LAURO DE FREITAS","291920705A",476.42
"89","LAURO DE FREITAS","291920706A",518.54
"90","LICÍNIO DE ALMEIDA","291940501C",27.2
"91","LIVRAMENTO DE NOSSA SENHORA","291950401U",10.8
"92","MAIRI","292010601C",0
"93","MARACÁS","292050201C",4.2
"94","MARAGOGIPE","292060101A",294.1
"95","MEDEIROS NETO","292110401A",59.36
"96","MORTUGABA","292180701C",0.6
"97","MUNDO NOVO","292210201C",0
"98","NOVA CANAÃ","292270601C",88.8
"99","NOVA ITARANA","292280501C",3.8
"100","NOVA REDENÇÃO","292285401C",0
"101","NOVA VIÇOSA","292300102A",66.07
"102","NOVA VIÇOSA","292300103A",70.3
"103","OLIVEIRA DOS BREJINHOS","292320901C",0
"104","PALMAS DE MONTE ALTO","292340701U",0
"105","PAU BRASIL","292390201A",93.6
"106","PEDRO ALEXANDRE","292420701C",0
"107","PIRITIBA","292480101C",0
"108","PLANALTINO","292490001C",0
"109","PORTO SEGURO","292530301A",140.42
"110","PORTO SEGURO","292530302A",29.8
"111","PORTO SEGURO","292530303A",100.63
"112","PORTO SEGURO","292530304A",6.32
"113","POÇÕES","292510501U",20
"114","PRADO","292550101A",145.2
"115","QUIXABEIRA","292593101C",37.6
"116","REMANSO","292600401C",0.8
"117","RIO DE CONTAS","292670701C",56.2
"118","RIO DO ANTÔNIO","292680601C",0
"119","RODELAS","292710101C",0
"120","RUY BARBOSA","292720001C",5.8
"121","SALVADOR","292740801A",278.05
"122","SALVADOR","292740802A",529.63
"123","SALVADOR","292740803A",420.93
"124","SALVADOR","292740804A",403.93
"125","SALVADOR","292740805A",423.9
"126","SALVADOR","292740806A",156.94
"127","SALVADOR","292740808A",441.62
"128","SALVADOR","292740810A",475.79
"129","SALVADOR","292740811A",551.28
"130","SALVADOR","292740812A",406.79
"131","SALVADOR","292740814A",505.85
"132","SALVADOR","292740815A",481.09
"133","SALVADOR","292740816A",518.26
"134","SALVADOR","292740817A",448.04
"135","SALVADOR","292740818A",488.1
"136","SALVADOR","292740819A",517.6
"137","SALVADOR","292740820A",462.6
"138","SALVADOR","292740821A",561.4
"139","SALVADOR","292740822A",389.4
"140","SALVADOR","292740823A",526.2
"141","SANTA BÁRBARA","292750701C",28.4
"142","SANTA CRUZ CABRÁLIA","292770501A",183.58
"143","SANTA INÊS","292790301C",57.6
"144","SANTA LUZIA","292805901A",93.8
"145","SANTA TERESINHA","292850501C",0
