;municipio;codEstacao;Dia;PrecD
1;ACARAÚ;230020001A;1;49,8
2;ACARAÚ;230020001A;2;0,4
3;ACARAÚ;230020001A;3;3,8
4;ACARAÚ;230020001A;4;5,6
5;ACARAÚ;230020001A;5;58,2
6;ACARAÚ;230020001A;6;0,2
7;ACARAÚ;230020001A;7;0
8;ACARAÚ;230020001A;8;0
9;ACARAÚ;230020001A;9;0
10;ACARAÚ;230020001A;10;10,6
11;ACARAÚ;230020001A;11;49,4
12;ACARAÚ;230020001A;12;0,4
13;ACARAÚ;230020001A;13;2,2
14;ACARAÚ;230020001A;14;9,4
15;ACARAÚ;230020001A;15;8,4
16;ACARAÚ;230020001A;16;0
17;ACARAÚ;230020001A;17;0,2
18;ACARAÚ;230020001A;18;0
19;ACARAÚ;230020001A;19;4,2
20;ACARAÚ;230020001A;20;6,4
21;ACARAÚ;230020001A;21;0
22;ACARAÚ;230020001A;22;0
23;ACARAÚ;230020001A;23;0
24;ACARAÚ;230020001A;24;3,8
25;ACARAÚ;230020001A;25;0
26;ACARAÚ;230020001A;26;3
27;ACARAÚ;230020001A;27;0
28;ACARAÚ;230020001A;28;11,8
29;ACARAÚ;230020001A;29;0,6
30;ACARAÚ;230020001A;30;19,6
31;ACARAÚ;230020002A;1;0
32;ACARAÚ;230020002A;2;0
33;ACARAÚ;230020002A;3;0
34;ACARAÚ;230020002A;4;0
35;ACARAÚ;230020002A;5;0
36;ACARAÚ;230020002A;6;0
37;ACARAÚ;230020002A;7;0
38;ACARAÚ;230020002A;8;0
39;ACARAÚ;230020002A;9;0
40;ACARAÚ;230020002A;10;0
41;ACARAÚ;230020002A;11;0
42;ACARAÚ;230020002A;12;0
43;ACARAÚ;230020002A;13;0
44;ACARAÚ;230020002A;14;0
45;ACARAÚ;230020002A;15;0
46;ACARAÚ;230020002A;16;0
47;ACARAÚ;230020002A;17;0
48;ACARAÚ;230020002A;18;0
49;ACARAÚ;230020002A;19;0
50;ACARAÚ;230020002A;20;0
51;ACARAÚ;230020002A;21;0
52;ACARAÚ;230020002A;22;0
53;ACARAÚ;230020002A;23;0
54;ACARAÚ;230020002A;24;0
55;ACARAÚ;230020002A;25;0
56;ACARAÚ;230020002A;26;0
57;ACARAÚ;230020002A;27;0
58;ACARAÚ;230020002A;28;0
59;ACARAÚ;230020002A;29;0
60;ACARAÚ;230020002A;30;0
61;ACOPIARA;230030901U;1;0,2
62;ACOPIARA;230030901U;3;41,6
63;ACOPIARA;230030901U;5;1,4
64;ACOPIARA;230030901U;6;0,2
65;ACOPIARA;230030901U;9;0,2
66;ACOPIARA;230030901U;10;13
67;ACOPIARA;230030901U;11;20,2
68;ACOPIARA;230030901U;12;0,4
69;ACOPIARA;230030901U;13;23
70;ACOPIARA;230030901U;21;8,6
71;ACOPIARA;230030901U;23;0,2
72;ACOPIARA;230030901U;30;0,6
73;ALTO SANTO;230070501C;1;6,6
74;ALTO SANTO;230070501C;2;0,4
75;ALTO SANTO;230070501C;5;6
76;ALTO SANTO;230070501C;6;0,2
77;ALTO SANTO;230070501C;10;1,2
78;ALTO SANTO;230070501C;11;9,4
79;ALTO SANTO;230070501C;12;0,6
80;ALTO SANTO;230070501C;13;10,6
81;ALTO SANTO;230070501C;14;1,2
82;ALTO SANTO;230070501C;15;0,2
83;ALTO SANTO;230070501C;18;1,2
84;ALTO SANTO;230070501C;22;18,8
85;ALTO SANTO;230070501C;23;17,8
86;ALTO SANTO;230070501C;28;6
87;AMONTADA;230075401A;1;22,63
88;AMONTADA;230075401A;2;0,2
89;AMONTADA;230075401A;3;0,79
90;AMONTADA;230075401A;4;2,17
91;AMONTADA;230075401A;5;10,43
92;AMONTADA;230075401A;6;0
93;AMONTADA;230075401A;7;27,61
94;AMONTADA;230075401A;8;0,8
95;AMONTADA;230075401A;9;5,18
96;AMONTADA;230075401A;10;13,02
97;AMONTADA;230075401A;11;3,57
98;AMONTADA;230075401A;12;0,8
99;AMONTADA;230075401A;13;7,34
100;AMONTADA;230075401A;14;19,35
101;AMONTADA;230075401A;15;12,9
102;AMONTADA;230075401A;16;1,81
103;AMONTADA;230075401A;17;2,2
104;AMONTADA;230075401A;18;0
105;AMONTADA;230075401A;19;0
106;AMONTADA;230075401A;20;0
107;AMONTADA;230075401A;21;0
108;AMONTADA;230075401A;22;0
109;AMONTADA;230075401A;23;0
110;AMONTADA;230075401A;24;0
111;AMONTADA;230075401A;25;0
112;AMONTADA;230075401A;26;0
113;AMONTADA;230075401A;27;0
114;AMONTADA;230075401A;28;0
115;AMONTADA;230075401A;29;0
116;AMONTADA;230075401A;30;0
117;AMONTADA;230075401H;1;26
118;AMONTADA;230075401H;2;0,4
119;AMONTADA;230075401H;3;9,6
120;AMONTADA;230075401H;4;3,2
121;AMONTADA;230075401H;5;12
122;AMONTADA;230075401H;6;0,2
123;AMONTADA;230075401H;7;0
124;AMONTADA;230075401H;8;0
125;AMONTADA;230075401H;9;0
126;AMONTADA;230075401H;10;0
127;AMONTADA;230075401H;11;6,2
128;AMONTADA;230075401H;12;0,2
129;AMONTADA;230075401H;13;1,2
130;AMONTADA;230075401H;14;4
131;AMONTADA;230075401H;15;1,8
132;AMONTADA;230075401H;16;0
133;AMONTADA;230075401H;17;0
134;AMONTADA;230075401H;18;0
135;AMONTADA;230075401H;19;0
136;AMONTADA;230075401H;20;5,6
137;AMONTADA;230075401H;21;0
138;AMONTADA;230075401H;22;0
139;AMONTADA;230075401H;23;4,2
140;AMONTADA;230075401H;24;1,2
141;AMONTADA;230075401H;25;0
142;AMONTADA;230075401H;26;0
143;AMONTADA;230075401H;27;0
144;AMONTADA;230075401H;28;0,6
145;AMONTADA;230075401H;29;1
146;AMONTADA;230075401H;30;0,6
147;AMONTADA;230075402A;1;33,25
148;AMONTADA;230075402A;2;0,4
149;AMONTADA;230075402A;3;4,92
150;AMONTADA;230075402A;4;4,16
151;AMONTADA;230075402A;5;13,6
152;AMONTADA;230075402A;6;0
153;AMONTADA;230075402A;7;0
154;AMONTADA;230075402A;8;0
155;AMONTADA;230075402A;9;0
156;AMONTADA;230075402A;10;0
157;AMONTADA;230075402A;11;7,71
158;AMONTADA;230075402A;12;0
159;AMONTADA;230075402A;13;1,2
160;AMONTADA;230075402A;14;5,32
161;AMONTADA;230075402A;15;2,19
162;AMONTADA;230075402A;16;0
163;AMONTADA;230075402A;17;0
164;AMONTADA;230075402A;18;0
165;AMONTADA;230075402A;19;0
166;AMONTADA;230075402A;20;3,93
167;AMONTADA;230075402A;21;0
168;AMONTADA;230075402A;22;0
169;AMONTADA;230075402A;23;1,18
170;AMONTADA;230075402A;24;6,11
171;AMONTADA;230075402A;25;0
172;AMONTADA;230075402A;26;0
173;AMONTADA;230075402A;27;0
174;AMONTADA;230075402A;28;0
175;AMONTADA;230075402A;29;1,58
176;AMONTADA;230075402A;30;0,99
177;AMONTADA;230075403A;1;25,07
178;AMONTADA;230075403A;2;1,97
179;AMONTADA;230075403A;3;0
180;AMONTADA;230075403A;4;0,99
181;AMONTADA;230075403A;5;18,96
182;AMONTADA;230075403A;6;0,2
183;AMONTADA;230075403A;7;0
184;AMONTADA;230075403A;8;0
185;AMONTADA;230075403A;9;0,99
186;AMONTADA;230075403A;10;0
187;AMONTADA;230075403A;11;25,39
188;AMONTADA;230075403A;12;0
189;AMONTADA;230075403A;13;3,35
190;AMONTADA;230075403A;14;11,62
191;AMONTADA;230075403A;15;2,99
192;AMONTADA;230075403A;16;0
193;AMONTADA;230075403A;17;0
194;AMONTADA;230075403A;18;0
195;AMONTADA;230075403A;19;0
196;AMONTADA;230075403A;20;0
197;AMONTADA;230075403A;21;0
198;AMONTADA;230075403A;22;0
199;AMONTADA;230075403A;23;0,4
200;AMONTADA;230075403A;24;2,38
201;AMONTADA;230075403A;25;0
202;AMONTADA;230075403A;26;0
203;AMONTADA;230075403A;27;0,39
204;AMONTADA;230075403A;28;8,52
205;AMONTADA;230075403A;29;0,4
206;AMONTADA;230075403A;30;3,36
207;ARATUBA;230140601C;1;4,6
208;ARATUBA;230140601C;2;0,2
209;ARATUBA;230140601C;3;6,2
210;ARATUBA;230140601C;4;0,4
211;ARATUBA;230140601C;5;8,6
212;ARATUBA;230140601C;8;0,2
213;ARATUBA;230140601C;10;34,2
214;ARATUBA;230140601C;11;20,6
215;ARATUBA;230140601C;12;1
216;ARATUBA;230140601C;13;18
217;ARATUBA;230140601C;14;14,6
218;ARATUBA;230140601C;15;5,6
219;ARATUBA;230140601C;16;2
220;ARATUBA;230140601C;18;0,2
221;ARATUBA;230140601C;20;6
222;ARATUBA;230140601C;21;0,2
223;ARATUBA;230140601C;22;7,2
224;ARATUBA;230140601C;23;0,2
225;ARATUBA;230140601C;24;12,8
226;ARATUBA;230140601C;26;1
227;ARATUBA;230140601C;27;4,6
228;ARATUBA;230140601C;28;2,6
229;ARATUBA;230140601C;29;6,2
230;ARATUBA;230140601C;30;1
231;ASSARÉ;230160401C;1;0,2
232;ASSARÉ;230160401C;2;0,4
233;ASSARÉ;230160401C;3;5,2
234;ASSARÉ;230160401C;4;0,2
235;ASSARÉ;230160401C;5;17,6
236;ASSARÉ;230160401C;6;8
237;ASSARÉ;230160401C;7;0,2
238;ASSARÉ;230160401C;10;33,8
239;ASSARÉ;230160401C;12;3,4
240;ASSARÉ;230160401C;13;9,2
241;ASSARÉ;230160401C;16;11,2
242;ASSARÉ;230160401C;30;1,8
243;AURORA;230170301A;1;0
244;AURORA;230170301A;2;17,07
245;AURORA;230170301A;3;33,21
246;AURORA;230170301A;4;0,2
247;AURORA;230170301A;5;0,4
248;AURORA;230170301A;6;7,98
249;AURORA;230170301A;7;0
250;AURORA;230170301A;8;2,2
251;AURORA;230170301A;9;0
252;AURORA;230170301A;10;13,75
253;AURORA;230170301A;11;18,6
