"","municipio","codEstacao","PrecM"
"1","ACARAÚ","230020001A",73.4
"2","ALCÂNTARAS","230050701C",1.6
"3","ALTO SANTO","230070501C",12.6
"4","AMONTADA","230075401A",52.13
"5","AMONTADA","230075401H",58.4
"6","AMONTADA","230075402A",58.8
"7","AMONTADA","230075403A",63.93
"8","ARACATI","230110901C",3.4
"9","AURORA","230170301A",123.7
"10","BARBALHA","230190101C",92.8
"11","BARRO","230200801C",63
"12","BATURITÉ","230210701A",182.4
"13","BELA CRUZ","230230501A",146.46
"14","BOA VIAGEM","230240401A",86.35
"15","CANINDÉ","230280001A",75.2
"16","CANINDÉ","230280001C",22.2
"17","CANINDÉ","230280002A",67.6
"18","CARIDADE","230300601A",81.6
"19","CARIRIAÇU","230320401C",0
"20","CAUCAIA","230370901A",107.04
"21","CAUCAIA","230370902A",90.49
"22","CAUCAIA","230370903A",99.15
"23","CAUCAIA","230370903H",6.6
"24","CAUCAIA","230370904A",27.98
"25","CAUCAIA","230370905A",113.48
"26","CAUCAIA","230370906A",110.14
"27","CHAVAL","230390701A",82.8
"28","COREAÚ","230400401A",109.2
"29","CRATEÚS","230410301A",75
"30","CRATEÚS","230410301C",128
"31","CRATEÚS","230410302A",79.8
"32","CRATO","230420201A",191.36
"33","CRATO","230420202A",0
"34","CRATO","230420204H",187.6
"35","FARIAS BRITO","230430101C",2.2
"36","FORQUILHA","230435001A",103.14
"37","FORQUILHA","230435001C",89.8
"38","FORTALEZA","230440001A",103.95
"39","FORTALEZA","230440004A",126.15
"40","FORTALEZA","230440005A",102.47
"41","FORTALEZA","230440005H",5.6
"42","FORTALEZA","230440007A",172.6
"43","FORTALEZA","230440008A",0.6
"44","FORTALEZA","230440009A",105.72
"45","FORTALEZA","230440010A",34.18
"46","FORTALEZA","230440011A",118.05
"47","FORTALEZA","230440016A",111.63
"48","GENERAL SAMPAIO","230460801C",3
"49","GRANJA","230470701A",91.2
"50","GRANJA","230470702A",69.4
"51","GROAÍRAS","230490506H",148.6
"52","ICÓ","230540701A",166.6
"53","ICÓ","230540701C",19.8
"54","ICÓ","230540702A",189
"55","IGUATU","230550601A",389
"56","IGUATU","230550602A",221.2
"57","IRAUÇUBA","230610801A",66.04
"58","ITAIÇABA","230620701A",120.2
"59","ITAPIPOCA","230640501C",0
"60","JAGUARETAMA","230670201C",0
"61","JAGUARIBARA","230680101C",0.6
"62","JAGUARUANA","230700701A",35.89
"63","JAGUARUANA","230700701C",0
"64","JAGUARUANA","230700702A",84.73
"65","JAGUARUANA","230700703A",68.9
"66","JAGUARUANA","230700704A",80.81
"67","JAGUARUANA","230700705A",94.92
"68","JAGUARUANA","230700706A",79.92
"69","JATI","230720501C",1.6
"70","JUAZEIRO DO NORTE","230730401A",138.84
"71","JUAZEIRO DO NORTE","230730401C",121.2
"72","LAVRAS DA MANGABEIRA","230750201A",127.8
"73","LAVRAS DA MANGABEIRA","230750201C",12.6
"74","LAVRAS DA MANGABEIRA","230750207H",138.8
"75","LIMOEIRO DO NORTE","230760101A",108.18
"76","MADALENA","230763501A",33
"77","MARACANAÚ","230765001A",0
"78","MARACANAÚ","230765002A",80.4
"79","MARACANAÚ","230765003A",85.4
"80","MARACANAÚ","230765004A",90.8
"81","MARANGUAPE","230770001A",108.8
"82","MARANGUAPE","230770002A",148.2
"83","MARCO","230780901A",107.26
"84","MASSAPÊ","230800501A",124.14
"85","MAURITI","230810401A",109.9
"86","MERUOCA","230820301A",147.4
"87","MILHÃ","230835101C",0
"88","MISSÃO VELHA","230840101A",188.4
"89","MISSÃO VELHA","230840101C",0
"90","MORADA NOVA","230870801C",27.8
"91","MORADA NOVA","230870802A",120.27
"92","MORADA NOVA","230870803A",141.8
"93","MORADA NOVA","230870804A",140.47
"94","MORADA NOVA","230870805A",133.88
"95","MORADA NOVA","230870809H",127.8
"96","MORAÚJO","230880701A",139.6
"97","MORRINHOS","230890601A",25.47
"98","PACOTI","230980501A",210.6
"99","PACUJÁ","230990401A",191
"100","PEDRA BRANCA","231050601A",119.2
"101","PEDRA BRANCA","231050602A",55.63
"102","PENTECOSTE","231070401C",79.4
"103","QUIXERAMOBIM","231140501A",0
"104","QUIXERAMOBIM","231140501C",0
"105","QUIXERÉ","231150401A",82
"106","REDENÇÃO","231160301C",0.4
"107","RERIUTABA","231170201C",5
"108","RUSSAS","231180101A",109
"109","RUSSAS","231180102A",141.6
"110","SANTANA DO ACARAÚ","231200701A",86.46
"111","SANTANA DO ACARAÚ","231200702H",26.6
"112","SENADOR POMPEU","231270001A",105.46
"113","SENADOR POMPEU","231270001C",0
"114","SOBRAL","231290801A",145.93
"115","SOBRAL","231290802A",70.53
"116","SÃO BENEDITO","231230401C",0
"117","TABULEIRO DO NORTE","231310401A",172
"118","UMARI","231370801C",0
"119","UMIRIM","231375701C",0
"120","VIÇOSA DO CEARÁ","231410201A",185.6
"121","VIÇOSA DO CEARÁ","231410202A",151.8
"122","VÁRZEA ALEGRE","231400301C",4.2
