;municipio;codEstacao;Dia;PrecD
1;ALTO ALEGRE DO MARANHÃO;210043601A;1;11,2
2;ALTO ALEGRE DO MARANHÃO;210043601A;2;52,2
3;ALTO ALEGRE DO MARANHÃO;210043601A;3;0,4
4;ALTO ALEGRE DO MARANHÃO;210043601A;4;16,4
5;ALTO ALEGRE DO MARANHÃO;210043601A;5;8,2
6;ALTO ALEGRE DO MARANHÃO;210043601A;6;0,6
7;ALTO ALEGRE DO MARANHÃO;210043601A;7;33,8
8;ALTO ALEGRE DO MARANHÃO;210043601A;8;8,2
9;ALTO ALEGRE DO MARANHÃO;210043601A;9;35,2
10;ALTO ALEGRE DO MARANHÃO;210043601A;10;17,8
11;ALTO ALEGRE DO MARANHÃO;210043601A;11;38,4
12;ALTO ALEGRE DO MARANHÃO;210043601A;12;18
13;ALTO ALEGRE DO MARANHÃO;210043601A;13;16,2
14;ALTO ALEGRE DO MARANHÃO;210043601A;16;10,2
15;ALTO ALEGRE DO MARANHÃO;210043601A;18;39,8
16;ALTO ALEGRE DO MARANHÃO;210043601A;19;18,8
17;ALTO ALEGRE DO MARANHÃO;210043601A;20;5,6
18;ALTO ALEGRE DO MARANHÃO;210043601A;22;6,4
19;ALTO ALEGRE DO PINDARÉ;210047701A;1;0
20;ALTO ALEGRE DO PINDARÉ;210047701A;2;0,2
21;ALTO ALEGRE DO PINDARÉ;210047701A;3;0
22;ALTO ALEGRE DO PINDARÉ;210047701A;4;1,6
23;ALTO ALEGRE DO PINDARÉ;210047701A;5;17,4
24;ALTO ALEGRE DO PINDARÉ;210047701A;6;7
25;ALTO ALEGRE DO PINDARÉ;210047701A;7;0,2
26;ALTO ALEGRE DO PINDARÉ;210047701A;8;2,6
27;ALTO ALEGRE DO PINDARÉ;210047701A;9;0,2
28;ALTO ALEGRE DO PINDARÉ;210047701A;10;6,4
29;ALTO ALEGRE DO PINDARÉ;210047701A;11;9,4
30;ALTO ALEGRE DO PINDARÉ;210047701A;12;0,2
31;ALTO ALEGRE DO PINDARÉ;210047701A;13;0,2
32;ALTO ALEGRE DO PINDARÉ;210047701A;14;0
33;ALTO ALEGRE DO PINDARÉ;210047701A;15;0
34;ALTO ALEGRE DO PINDARÉ;210047701A;16;0
35;ALTO ALEGRE DO PINDARÉ;210047701A;17;0
36;ALTO ALEGRE DO PINDARÉ;210047701A;18;0
37;ALTO ALEGRE DO PINDARÉ;210047701A;19;0
38;ALTO ALEGRE DO PINDARÉ;210047701A;20;0,2
39;ALTO ALEGRE DO PINDARÉ;210047701A;21;0
40;ALTO ALEGRE DO PINDARÉ;210047701A;22;0
41;ALTO ALEGRE DO PINDARÉ;210047701A;23;0
42;ALTO ALEGRE DO PINDARÉ;210047701A;24;44,8
43;ALTO ALEGRE DO PINDARÉ;210047701A;25;1,4
44;ALTO ALEGRE DO PINDARÉ;210047701A;26;0,4
45;ALTO ALEGRE DO PINDARÉ;210047701A;27;0,2
46;ALTO ALEGRE DO PINDARÉ;210047701A;28;38,8
47;ALTO ALEGRE DO PINDARÉ;210047701A;29;10
48;ALTO ALEGRE DO PINDARÉ;210047701A;30;2
49;ALTO PARNAÍBA;210050102A;1;0
50;ALTO PARNAÍBA;210050102A;2;0
