"","municipio","codEstacao","Dia","PrecD"
"1","ALTO ALEGRE DO MARANHÃO","210043601A","30",1.6
"2","ALTO ALEGRE DO PINDARÉ","210047701A","01",0
"3","ALTO ALEGRE DO PINDARÉ","210047701A","02",0
"4","ALTO ALEGRE DO PINDARÉ","210047701A","03",0
"5","ALTO ALEGRE DO PINDARÉ","210047701A","04",0.4
"6","ALTO ALEGRE DO PINDARÉ","210047701A","05",0.2
"7","ALTO ALEGRE DO PINDARÉ","210047701A","06",0
"8","ALTO ALEGRE DO PINDARÉ","210047701A","07",0
"9","ALTO ALEGRE DO PINDARÉ","210047701A","08",0
"10","ALTO ALEGRE DO PINDARÉ","210047701A","09",0
"11","ALTO ALEGRE DO PINDARÉ","210047701A","10",0
"12","ALTO ALEGRE DO PINDARÉ","210047701A","11",0
"13","ALTO ALEGRE DO PINDARÉ","210047701A","12",0
"14","ALTO ALEGRE DO PINDARÉ","210047701A","13",0
"15","ALTO ALEGRE DO PINDARÉ","210047701A","14",0
"16","ALTO ALEGRE DO PINDARÉ","210047701A","15",0
"17","ALTO ALEGRE DO PINDARÉ","210047701A","16",0
"18","ALTO ALEGRE DO PINDARÉ","210047701A","17",0
"19","ALTO ALEGRE DO PINDARÉ","210047701A","18",0
"20","ALTO ALEGRE DO PINDARÉ","210047701A","19",0
"21","ALTO ALEGRE DO PINDARÉ","210047701A","20",0
"22","ALTO ALEGRE DO PINDARÉ","210047701A","21",0
"23","ALTO ALEGRE DO PINDARÉ","210047701A","22",0
"24","ALTO ALEGRE DO PINDARÉ","210047701A","23",0
"25","ALTO ALEGRE DO PINDARÉ","210047701A","24",0
"26","ALTO ALEGRE DO PINDARÉ","210047701A","25",0.2
"27","ALTO ALEGRE DO PINDARÉ","210047701A","26",0
"28","ALTO ALEGRE DO PINDARÉ","210047701A","27",0
"29","ALTO ALEGRE DO PINDARÉ","210047701A","28",0
"30","ALTO ALEGRE DO PINDARÉ","210047701A","29",0
"31","ALTO ALEGRE DO PINDARÉ","210047701A","30",0
"32","ALTO ALEGRE DO PINDARÉ","210047701A","31",0
"33","ALTO PARNAÍBA","210050102A","01",0
"34","ALTO PARNAÍBA","210050102A","02",0
"35","ALTO PARNAÍBA","210050102A","03",0
"36","ALTO PARNAÍBA","210050102A","04",0
"37","ALTO PARNAÍBA","210050102A","05",0
"38","ALTO PARNAÍBA","210050102A","06",0
"39","ALTO PARNAÍBA","210050102A","07",0
"40","ALTO PARNAÍBA","210050102A","08",0
"41","ALTO PARNAÍBA","210050102A","09",0
