"","municipio","codEstacao","PrecM"
"1","ALCÂNTARA","210020401A",672.4
"2","ALTO ALEGRE DO MARANHÃO","210043601A",1.4
"3","ALTO PARNAÍBA","210050102A",149.75
"4","APICUM-AÇU","210083201A",703.6
"5","ARAIOSES","210090701A",605.4
"6","ARAME","210095601A",65.2
"7","BACABAL","210120202A",413.6
"8","BACURI","210130101A",585.2
"9","BALSAS","210140001A",89.8
"10","BENEDITO LEITE","210180601A",127.2
"11","BOA VISTA DO GURUPI","210197001A",335
"12","BREJO","210210102A",260.53
"13","BURITI","210220001A",2
"14","BURITICUPU","210232501A",383.2
"15","CANTANHEDE","210270501A",466.8
"16","CAXIAS","210300001A",267.6
"17","CAXIAS","210300003A",0
"18","CENTRO DO GUILHERME","210315801A",303.6
"19","CHAPADINHA","210320801A",481.4
"20","CHAPADINHA","210320802A",598.15
"21","CODÓ","210330701A",34.6
"22","CODÓ","210330702A",63.2
"23","COELHO NETO","210340601A",294.4
"24","COLINAS","210350501A",145.2
"25","COROATÁ","210360401A",337.2
"26","DUQUE BACELAR","210390101A",252.8
"27","ESPERANTINÓPOLIS","210400801A",125
"28","FORTALEZA DOS NOGUEIRAS","210410701A",284.2
"29","GRAJAÚ","210480001A",1.2
"30","ICATU","210510401A",505
"31","IGARAPÉ DO MEIO","210515301A",562.6
"32","IMPERATRIZ","210530201A",338.4
"33","IMPERATRIZ","210530202A",365.4
"34","IMPERATRIZ","210530204A",0
"35","JATOBÁ","210545001A",204.8
"36","LAGO DA PEDRA","210570801A",381
"37","LAGO DO JUNCO","210580701A",267.2
"38","LAGO DOS RODRIGUES","210594801A",285.6
"39","LAGOA GRANDE DO MARANHÃO","210596302A",30.93
"40","MARAJÁ DO SENA","210635902A",256.9
"41","MATÕES","210660701A",331
"42","MATÕES DO NORTE","210663101A",0.6
"43","MIRADOR","210670601A",0.8
"44","MIRANDA DO NORTE","210675501A",423.6
"45","MIRINZAL","210680501A",81.6
"46","MONÇÃO","210690401A",516.2
"47","NINA RODRIGUES","210720901A",435.6
"48","OLINDA NOVA DO MARANHÃO","210745601A",391.2
"49","PARNARAMA","210780301A",184.6
"50","PERITORÓ","210845401A",375.8
"51","PIO XII","210870201A",70.6
"52","PIRAPEMAS","210880101A",0.2
"53","PRESIDENTE DUTRA","210910601A",177.2
"54","PRESIDENTE VARGAS","210930401A",482.2
"55","RAPOSA","210945201A",545
"56","ROSÁRIO","210960101A",427
"57","SANTA FILOMENA DO MARANHÃO","210975901A",241.8
"58","SANTA HELENA","210980901A",303.8
"59","SANTA QUITÉRIA DO MARANHÃO","211010401A",193.8
"60","SANTO AMARO DO MARANHÃO","211027802A",420.97
"61","SATUBINHA","211172201A",310.6
"62","SÃO FÉLIX DE BALSAS","211080701A",99
"63","SÃO LUÍS","211130002A",5
"64","SÃO LUÍS","211130003A",527.2
"65","SÃO LUÍS","211130004A",638.2
"66","SÃO LUÍS","211130005A",498.8
"67","SÃO LUÍS","211130006A",575.4
"68","SÃO LUÍS","211130007A",552
"69","SÃO LUÍS","211130008A",458
"70","SÃO LUÍS","211130009A",514.2
"71","SÃO LUÍS","211130010A",634.2
"72","SÃO LUÍS GONZAGA DO MARANHÃO","211140901A",379
"73","SÃO MATEUS DO MARANHÃO","211150801A",5.2
"74","SÃO PEDRO DA ÁGUA BRANCA","211153202A",252.31
"75","TIMBIRAS","211210001A",400
"76","TIMON","211220901A",1.4
"77","TRIZIDELA DO VALE","211223301A",258
"78","TUFILÂNDIA","211227401A",3.4
"79","TURILÂNDIA","211245601A",260.8
"80","VIANA","211280301A",445.2
"81","VITÓRIA DO MEARIM","211290201A",0.2
