;municipio;codEstacao;Dia;PrecD
1;ALAGOA GRANDE;250030401A;1;0
2;ALAGOA GRANDE;250030401A;2;12,4
3;ALAGOA GRANDE;250030401A;3;0
4;ALAGOA GRANDE;250030401A;4;0
5;ALAGOA GRANDE;250030401A;5;1
6;ALAGOA GRANDE;250030401A;6;0,2
7;ALAGOA GRANDE;250030401A;7;0
8;ALAGOA GRANDE;250030401A;8;0
9;ALAGOA GRANDE;250030401A;9;0
10;ALAGOA GRANDE;250030401A;10;3,2
11;ALAGOA GRANDE;250030401A;11;21,8
12;ALAGOA GRANDE;250030401A;12;3,6
13;ALAGOA GRANDE;250030401A;13;40
14;ALAGOA GRANDE;250030401A;14;3
15;ALAGOA GRANDE;250030401A;15;0,2
16;ALAGOA GRANDE;250030401A;16;0
17;ALAGOA GRANDE;250030401A;17;1,6
18;ALAGOA GRANDE;250030401A;18;0,2
19;ALAGOA GRANDE;250030401A;19;0
20;ALAGOA GRANDE;250030401A;20;0
21;ALAGOA GRANDE;250030401A;21;0
22;ALAGOA GRANDE;250030401A;22;0
23;ALAGOA GRANDE;250030401A;23;13,2
24;ALAGOA GRANDE;250030401A;24;0
25;ALAGOA GRANDE;250030401A;25;0
26;ALAGOA GRANDE;250030401A;26;0
27;ALAGOA GRANDE;250030401A;27;0,8
28;ALAGOA GRANDE;250030401A;28;4,6
29;ALAGOA GRANDE;250030401A;29;0
30;ALAGOA GRANDE;250030401A;30;22,6
31;BARRA DE SANTA ROSA;250160902U;5;1,6
32;BARRA DE SANTA ROSA;250160902U;10;11,6
33;BARRA DE SANTA ROSA;250160902U;13;41
34;BARRA DE SANTA ROSA;250160902U;17;0,2
35;BARRA DE SANTA ROSA;250160902U;23;0,6
36;BARRA DE SANTA ROSA;250160902U;28;4
37;BARRA DE SANTA ROSA;250160902U;30;9,2
38;BARRA DE SANTANA;250157501C;2;0,8
39;BARRA DE SANTANA;250157501C;5;4,6
40;BARRA DE SANTANA;250157501C;7;1
41;BARRA DE SANTANA;250157501C;11;1,2
42;BARRA DE SANTANA;250157501C;13;11,8
43;BARRA DE SANTANA;250157501C;14;0,4
44;BARRA DE SANTANA;250157501C;16;0,4
45;BARRA DE SANTANA;250157501C;17;12,4
46;BARRA DE SANTANA;250157501C;19;0,4
47;BARRA DE SANTANA;250157501C;23;0,6
48;BARRA DE SANTANA;250157501C;30;5
49;BAYEUX;250180701A;1;1,6
50;BAYEUX;250180701A;2;7
51;BAYEUX;250180701A;3;7,4
52;BAYEUX;250180701A;4;8,8
53;BAYEUX;250180701A;5;5
54;BAYEUX;250180701A;6;0
55;BAYEUX;250180701A;7;0
56;BAYEUX;250180701A;8;0
57;BAYEUX;250180701A;9;0
58;BAYEUX;250180701A;10;9,6
59;BAYEUX;250180701A;11;38,8
60;BAYEUX;250180701A;12;0
61;BAYEUX;250180701A;13;54
62;BAYEUX;250180701A;14;11,4
63;BAYEUX;250180701A;15;0,4
64;BAYEUX;250180701A;16;0
65;BAYEUX;250180701A;17;11
66;BAYEUX;250180701A;18;0
67;BAYEUX;250180701A;19;1,2
68;BAYEUX;250180701A;20;0
69;BAYEUX;250180701A;21;0
70;BAYEUX;250180701A;22;1,2
71;BAYEUX;250180701A;23;11,8
72;BAYEUX;250180701A;24;0
73;BAYEUX;250180701A;25;6,4
74;BAYEUX;250180701A;26;1,2
75;BAYEUX;250180701A;27;4,6
76;BAYEUX;250180701A;28;10
77;BAYEUX;250180701A;29;6,8
78;BAYEUX;250180701A;30;67
79;BAYEUX;250180702A;1;0,6
80;BAYEUX;250180702A;2;5,8
81;BAYEUX;250180702A;3;0
82;BAYEUX;250180702A;4;7,8
83;BAYEUX;250180702A;5;2
84;BAYEUX;250180702A;6;0
85;BAYEUX;250180702A;7;0,8
86;BAYEUX;250180702A;8;0
87;BAYEUX;250180702A;9;0
88;BAYEUX;250180702A;10;5,8
89;BAYEUX;250180702A;11;24,6
90;BAYEUX;250180702A;12;0
91;BAYEUX;250180702A;13;51,2
92;BAYEUX;250180702A;14;11,2
93;BAYEUX;250180702A;15;1
94;BAYEUX;250180702A;16;0
95;BAYEUX;250180702A;17;10,8
96;BAYEUX;250180702A;18;0
97;BAYEUX;250180702A;19;5,2
98;BAYEUX;250180702A;20;0
99;BAYEUX;250180702A;21;0
100;BAYEUX;250180702A;22;0
101;BAYEUX;250180702A;23;15,6
102;BAYEUX;250180702A;24;0,8
103;BAYEUX;250180702A;25;3
104;BAYEUX;250180702A;26;0,2
105;BAYEUX;250180702A;27;0,8
106;BAYEUX;250180702A;28;15,8
107;BAYEUX;250180702A;29;7,4
108;BAYEUX;250180702A;30;58
109;BAYEUX;250180703A;1;0,6
110;BAYEUX;250180703A;2;18,8
111;BAYEUX;250180703A;3;0,8
112;BAYEUX;250180703A;4;8,8
113;BAYEUX;250180703A;5;7,8
114;BAYEUX;250180703A;6;0
115;BAYEUX;250180703A;7;0,4
116;BAYEUX;250180703A;8;0
117;BAYEUX;250180703A;9;0
118;BAYEUX;250180703A;10;4
119;BAYEUX;250180703A;11;18,4
120;BAYEUX;250180703A;12;0
121;BAYEUX;250180703A;13;50,8
122;BAYEUX;250180703A;14;12
123;BAYEUX;250180703A;15;0,2
124;BAYEUX;250180703A;16;0
125;BAYEUX;250180703A;17;9,6
126;BAYEUX;250180703A;18;0
127;BAYEUX;250180703A;19;3,2
128;BAYEUX;250180703A;20;0
129;BAYEUX;250180703A;21;0
130;BAYEUX;250180703A;22;0
131;BAYEUX;250180703A;23;14,2
132;BAYEUX;250180703A;24;0
133;BAYEUX;250180703A;25;4,2
134;BAYEUX;250180703A;26;0,2
135;BAYEUX;250180703A;27;0,4
136;BAYEUX;250180703A;28;15,8
137;BAYEUX;250180703A;29;7,4
138;BAYEUX;250180703A;30;62,4
139;CAAPORÃ;250300101A;1;0
140;CAAPORÃ;250300101A;2;14,8
141;CAAPORÃ;250300101A;3;0,6
142;CAAPORÃ;250300101A;4;2,6
143;CAAPORÃ;250300101A;5;7
144;CAAPORÃ;250300101A;6;0
145;CAAPORÃ;250300101A;7;0,2
146;CAAPORÃ;250300101A;8;0
147;CAAPORÃ;250300101A;9;0,4
148;CAAPORÃ;250300101A;10;11,4
149;CAAPORÃ;250300101A;11;40,8
150;CAAPORÃ;250300101A;12;0
151;CAAPORÃ;250300101A;13;70
152;CAAPORÃ;250300101A;14;1,8
153;CAAPORÃ;250300101A;15;0,6
154;CAAPORÃ;250300101A;16;0
155;CAAPORÃ;250300101A;17;7,8
156;CAAPORÃ;250300101A;18;0
157;CAAPORÃ;250300101A;19;0,8
158;CAAPORÃ;250300101A;20;0
159;CAAPORÃ;250300101A;21;0
160;CAAPORÃ;250300101A;22;0
161;CAAPORÃ;250300101A;23;24
162;CAAPORÃ;250300101A;24;0,6
163;CAAPORÃ;250300101A;25;2,2
164;CAAPORÃ;250300101A;26;0,2
165;CAAPORÃ;250300101A;27;4
166;CAAPORÃ;250300101A;28;3,8
167;CAAPORÃ;250300101A;29;0
168;CAAPORÃ;250300101A;30;40,4
169;CABEDELO;250320901A;1;0
170;CABEDELO;250320901A;2;51,8
171;CABEDELO;250320901A;3;0,2
172;CABEDELO;250320901A;4;0,4
173;CABEDELO;250320901A;5;0,8
174;CABEDELO;250320901A;6;0
175;CABEDELO;250320901A;7;6,8
176;CABEDELO;250320901A;8;0
177;CABEDELO;250320901A;9;4
178;CABEDELO;250320901A;10;6,2
179;CABEDELO;250320901A;11;24
180;CABEDELO;250320901A;12;0
181;CABEDELO;250320901A;13;78,8
182;CABEDELO;250320901A;14;11,4
183;CABEDELO;250320901A;15;3,4
184;CABEDELO;250320901A;16;0
185;CABEDELO;250320901A;17;14
186;CABEDELO;250320901A;18;0
187;CABEDELO;250320901A;19;1,8
188;CABEDELO;250320901A;20;0
189;CABEDELO;250320901A;21;0
190;CABEDELO;250320901A;22;22,6
191;CABEDELO;250320901A;23;0,8
192;CABEDELO;250320901A;24;0
193;CABEDELO;250320901A;25;2,4
194;CABEDELO;250320901A;26;0,4
195;CABEDELO;250320901A;27;0,2
196;CABEDELO;250320901A;28;1,6
197;CABEDELO;250320901A;29;4,2
198;CABEDELO;250320901A;30;23,2
199;CABEDELO;250320902A;1;0
200;CABEDELO;250320902A;2;21,6
201;CABEDELO;250320902A;3;1
202;CABEDELO;250320902A;4;9,2
203;CABEDELO;250320902A;5;0,6
204;CABEDELO;250320902A;6;0
205;CABEDELO;250320902A;7;0
206;CABEDELO;250320902A;8;0
207;CABEDELO;250320902A;9;2,6
208;CABEDELO;250320902A;10;3,2
209;CABEDELO;250320902A;11;34,6
210;CABEDELO;250320902A;12;0
211;CABEDELO;250320902A;13;61,8
212;CABEDELO;250320902A;14;11
213;CABEDELO;250320902A;15;2,2
214;CABEDELO;250320902A;16;0
215;CABEDELO;250320902A;17;16,8
216;CABEDELO;250320902A;18;0
217;CABEDELO;250320902A;19;0,4
218;CABEDELO;250320902A;20;0
219;CABEDELO;250320902A;21;0
220;CABEDELO;250320902A;22;3,6
221;CABEDELO;250320902A;23;4,4
222;CABEDELO;250320902A;24;0
223;CABEDELO;250320902A;25;5,8
224;CABEDELO;250320902A;26;0,8
225;CABEDELO;250320902A;27;0
226;CABEDELO;250320902A;28;1,6
227;CABEDELO;250320902A;29;2,4
228;CABEDELO;250320902A;30;28,2
229;CABEDELO;250320903A;1;2
230;CABEDELO;250320903A;2;11,2
231;CABEDELO;250320903A;3;2
232;CABEDELO;250320903A;4;5,6
233;CABEDELO;250320903A;5;1,4
234;CABEDELO;250320903A;6;0
235;CABEDELO;250320903A;7;1,4
236;CABEDELO;250320903A;8;0,2
237;CABEDELO;250320903A;9;2,4
238;CABEDELO;250320903A;10;3,2
239;CABEDELO;250320903A;11;54,8
240;CABEDELO;250320903A;12;1,6
241;CABEDELO;250320903A;13;76,2
242;CABEDELO;250320903A;14;4,8
243;CABEDELO;250320903A;15;0,2
244;CABEDELO;250320903A;16;0
245;CABEDELO;250320903A;17;26,8
246;CABEDELO;250320903A;18;0
247;CABEDELO;250320903A;19;0,8
248;CABEDELO;250320903A;20;0
249;CABEDELO;250320903A;21;0
250;CABEDELO;250320903A;22;0,8
251;CABEDELO;250320903A;23;3,8
252;CABEDELO;250320903A;24;0
253;CABEDELO;250320903A;25;6,2
254;CABEDELO;250320903A;26;0
255;CABEDELO;250320903A;27;0
256;CABEDELO;250320903A;28;1,4
257;CABEDELO;250320903A;29;1
258;CABEDELO;250320903A;30;57
259;CAJAZEIRAS;250370401C;19;0,2
260;CAJAZEIRAS;250370401C;20;0,2
261;CAJAZEIRAS;250370401C;26;0,2
262;CAMALAÚ;250390201C;13;13,6
263;CAMALAÚ;250390201C;17;4,2
264;CAMALAÚ;250390201C;23;2
265;CAMPINA GRANDE;250400901A;1;0
266;CAMPINA GRANDE;250400901A;2;0,2
267;CAMPINA GRANDE;250400901A;3;0
268;CAMPINA GRANDE;250400901A;4;0
269;CAMPINA GRANDE;250400901A;5;6,4
270;CAMPINA GRANDE;250400901A;6;0
271;CAMPINA GRANDE;250400901A;7;0
272;CAMPINA GRANDE;250400901A;8;0
273;CAMPINA GRANDE;250400901A;9;0,6
274;CAMPINA GRANDE;250400901A;10;8,6
275;CAMPINA GRANDE;250400901A;11;12,2
276;CAMPINA GRANDE;250400901A;12;0
277;CAMPINA GRANDE;250400901A;13;41,8
278;CAMPINA GRANDE;250400901A;14;0
279;CAMPINA GRANDE;250400901A;15;0
280;CAMPINA GRANDE;250400901A;16;0
281;CAMPINA GRANDE;250400901A;17;3
282;CAMPINA GRANDE;250400901A;18;0,2
283;CAMPINA GRANDE;250400901A;19;0,2
284;CAMPINA GRANDE;250400901A;20;0
285;CAMPINA GRANDE;250400901A;21;0
286;CAMPINA GRANDE;250400901A;22;0
287;CAMPINA GRANDE;250400901A;23;6,4
288;CAMPINA GRANDE;250400901A;24;1,6
289;CAMPINA GRANDE;250400901A;25;0
290;CAMPINA GRANDE;250400901A;26;0
291;CAMPINA GRANDE;250400901A;27;0
292;CAMPINA GRANDE;250400901A;28;0,4
293;CAMPINA GRANDE;250400901A;29;0
294;CAMPINA GRANDE;250400901A;30;10
295;CAMPINA GRANDE;250400901C;4;0,6
296;CAMPINA GRANDE;250400901C;13;23,6
297;CAMPINA GRANDE;250400901C;17;4,4
298;CAMPINA GRANDE;250400901C;23;0,6
299;CAMPINA GRANDE;250400901C;30;4,4
300;CAMPINA GRANDE;250400902A;1;0
301;CAMPINA GRANDE;250400902A;2;2,2
302;CAMPINA GRANDE;250400902A;3;0,4
303;CAMPINA GRANDE;250400902A;4;0,4
304;CAMPINA GRANDE;250400902A;5;3,2
