"","municipio","codEstacao","PrecM"
"1","ALAGOA GRANDE","250030401A",124.8
"2","BARRA DE SANTA ROSA","250160902U",19.2
"3","BARRA DE SANTANA","250157501C",27
"4","BAYEUX","250180701A",480.6
"5","BAYEUX","250180702A",522.8
"6","BAYEUX","250180703A",501
"7","CAAPORÃ","250300101A",327
"8","CABEDELO","250320901A",306.6
"9","CABEDELO","250320902A",381.6
"10","CABEDELO","250320903A",517
"11","CAJAZEIRAS","250370401C",1.2
"12","CAMALAÚ","250390201C",29.4
"13","CAMPINA GRANDE","250400901A",80.6
"14","CAMPINA GRANDE","250400901C",21.2
"15","CAMPINA GRANDE","250400902A",55.8
"16","CAMPINA GRANDE","250400903A",36.6
"17","CAMPINA GRANDE","250400904A",35.2
"18","CAMPINA GRANDE","250400905A",37.2
"19","CAMPINA GRANDE","250400906A",45
"20","CAMPINA GRANDE","250400907A",36.4
"21","CATOLÉ DO ROCHA","250430602U",18
"22","ESPERANÇA","250600401C",43.2
"23","ITAPORANGA","250700202U",52.6
"24","JOÃO PESSOA","250750701A",531
"25","JOÃO PESSOA","250750702A",456.6
"26","JOÃO PESSOA","250750703A",451
"27","JOÃO PESSOA","250750704A",470.8
"28","JOÃO PESSOA","250750705A",487.6
"29","JOÃO PESSOA","250750706A",511.4
"30","JOÃO PESSOA","250750707A",451
"31","JUAZEIRINHO","250770501C",49
"32","JURU","250800001C",75
"33","LIVRAMENTO","250850501C",42.6
"34","MARI","250910701A",224.4
"35","MASSARANDUBA","250920601C",117
"36","MATARACA","250930501A",1.2
"37","MONTEIRO","250970101C",15.4
"38","MULUNGU","250980001A",155.2
"39","PATOS","251080801C",46.4
"40","PICUÍ","251140001C",20.4
"41","PITIMBU","251190501A",391.8
"42","QUEIMADAS","251250702U",16.6
"43","REMÍGIO","251270501C",64.2
"44","SALGADO DE SÃO FÉLIX","251310901C",76.8
"45","SAPÉ","251530201A",214.8
"46","SOLEDADE","251610201C",29.6
"47","SOLÂNEA","251600301C",38.8
"48","SOUSA","251620101C",1.2
"49","SÃO JOSÉ DE PIRANHAS","251450301C",31.6
"50","TAPEROÁ","251650802U",43.4
"51","VÁRZEA","251710001U",13.4
