"","municipio","codEstacao","Dia","PrecD"
"1","ALAGOA GRANDE","250030401A","01",0.6
"2","ALAGOA GRANDE","250030401A","02",0
"3","ALAGOA GRANDE","250030401A","03",0.6
"4","ALAGOA GRANDE","250030401A","04",16.2
"5","ALAGOA GRANDE","250030401A","05",1
"6","ALAGOA GRANDE","250030401A","06",4
"7","ALAGOA GRANDE","250030401A","07",11.8
"8","ALAGOA GRANDE","250030401A","08",2.2
"9","ALAGOA GRANDE","250030401A","09",3
"10","ALAGOA GRANDE","250030401A","10",0.8
"11","ALAGOA GRANDE","250030401A","11",0
"12","ALAGOA GRANDE","250030401A","12",0.6
"13","ALAGOA GRANDE","250030401A","13",0
"14","ALAGOA GRANDE","250030401A","14",4.2
"15","ALAGOA GRANDE","250030401A","15",4.2
"16","ALAGOA GRANDE","250030401A","16",0
"17","ALAGOA GRANDE","250030401A","17",2
"18","ALAGOA GRANDE","250030401A","18",0.2
"19","ALAGOA GRANDE","250030401A","19",0.8
"20","ALAGOA GRANDE","250030401A","20",0
"21","ALAGOA GRANDE","250030401A","21",0
"22","ALAGOA GRANDE","250030401A","22",3.4
"23","ALAGOA GRANDE","250030401A","23",3.8
"24","ALAGOA GRANDE","250030401A","24",0.8
"25","ALAGOA GRANDE","250030401A","25",28.8
"26","ALAGOA GRANDE","250030401A","26",0
"27","ALAGOA GRANDE","250030401A","27",0.8
"28","ALAGOA GRANDE","250030401A","28",0
"29","ALAGOA GRANDE","250030401A","29",15.8
"30","ALAGOA GRANDE","250030401A","30",19.2
"31","ALAGOINHA","250050201A","01",0
"32","ALAGOINHA","250050201A","02",0
"33","ALAGOINHA","250050201A","03",0
"34","ALAGOINHA","250050201A","04",31.6
"35","ALAGOINHA","250050201A","05",0.4
"36","ALAGOINHA","250050201A","06",4.2
"37","ALAGOINHA","250050201A","07",7.6
"38","ALAGOINHA","250050201A","08",2.2
"39","ALAGOINHA","250050201A","09",1.2
"40","ALAGOINHA","250050201A","10",0.4
"41","ALAGOINHA","250050201A","11",0
"42","ALAGOINHA","250050201A","12",0
"43","ALAGOINHA","250050201A","13",0
"44","ALAGOINHA","250050201A","14",4
"45","ALAGOINHA","250050201A","15",0
"46","ALAGOINHA","250050201A","16",0
"47","ALAGOINHA","250050201A","17",2.4
"48","ALAGOINHA","250050201A","18",2.2
"49","ALAGOINHA","250050201A","19",0
"50","ALAGOINHA","250050201A","20",0
"51","ALAGOINHA","250050201A","21",0
"52","ALAGOINHA","250050201A","22",7.8
"53","ALAGOINHA","250050201A","23",9.8
"54","ALAGOINHA","250050201A","24",0.8
"55","ALAGOINHA","250050201A","25",38
"56","ALAGOINHA","250050201A","26",0
"57","ALAGOINHA","250050201A","27",0
"58","ALAGOINHA","250050201A","28",1.6
"59","ALAGOINHA","250050201A","29",26
"60","ALAGOINHA","250050201A","30",6.6
"61","BAYEUX","250180701A","01",10.4
"62","BAYEUX","250180701A","02",0.6
"63","BAYEUX","250180701A","03",2.4
"64","BAYEUX","250180701A","04",38.8
"65","BAYEUX","250180701A","05",1.6
"66","BAYEUX","250180701A","06",11.8
"67","BAYEUX","250180701A","07",14.4
"68","BAYEUX","250180701A","08",9.8
"69","BAYEUX","250180701A","09",0.6
"70","BAYEUX","250180701A","10",13
"71","BAYEUX","250180701A","11",0.4
"72","BAYEUX","250180701A","12",2.8
"73","BAYEUX","250180701A","13",0
"74","BAYEUX","250180701A","14",15.6
"75","BAYEUX","250180701A","15",0.8
"76","BAYEUX","250180701A","16",0
"77","BAYEUX","250180701A","17",0.4
"78","BAYEUX","250180701A","18",5.4
"79","BAYEUX","250180701A","19",0.6
"80","BAYEUX","250180701A","20",0
"81","BAYEUX","250180701A","21",6.6
"82","BAYEUX","250180701A","22",15.8
"83","BAYEUX","250180701A","23",15.6
"84","BAYEUX","250180701A","24",1
"85","BAYEUX","250180701A","25",51.6
"86","BAYEUX","250180701A","26",0.4
"87","BAYEUX","250180701A","27",1
"88","BAYEUX","250180701A","28",18.2
"89","BAYEUX","250180701A","29",42
"90","BAYEUX","250180701A","30",15.2
"91","BAYEUX","250180702A","01",7.8
"92","BAYEUX","250180702A","02",1.8
"93","BAYEUX","250180702A","03",3.4
"94","BAYEUX","250180702A","04",35.4
"95","BAYEUX","250180702A","05",2
"96","BAYEUX","250180702A","06",14.6
"97","BAYEUX","250180702A","07",17
"98","BAYEUX","250180702A","08",7.2
"99","BAYEUX","250180702A","09",0.2
"100","BAYEUX","250180702A","10",15
"101","BAYEUX","250180702A","11",0.8
"102","BAYEUX","250180702A","12",2.4
"103","BAYEUX","250180702A","13",0
"104","BAYEUX","250180702A","14",12.4
"105","BAYEUX","250180702A","15",4.6
"106","BAYEUX","250180702A","16",0
"107","BAYEUX","250180702A","17",2.2
"108","BAYEUX","250180702A","18",11.4
"109","BAYEUX","250180702A","19",2.6
"110","BAYEUX","250180702A","20",0
"111","BAYEUX","250180702A","21",6
"112","BAYEUX","250180702A","22",11.8
"113","BAYEUX","250180702A","23",17.4
"114","BAYEUX","250180702A","24",3
"115","BAYEUX","250180702A","25",55.2
"116","BAYEUX","250180702A","26",0.2
"117","BAYEUX","250180702A","27",0
"118","BAYEUX","250180702A","28",7.2
"119","BAYEUX","250180702A","29",58
"120","BAYEUX","250180702A","30",14.4
"121","BAYEUX","250180703A","01",8.4
"122","BAYEUX","250180703A","02",3.2
"123","BAYEUX","250180703A","03",4.8
"124","BAYEUX","250180703A","04",41
"125","BAYEUX","250180703A","05",1
"126","BAYEUX","250180703A","06",13.6
"127","BAYEUX","250180703A","07",17.6
"128","BAYEUX","250180703A","08",9.6
"129","BAYEUX","250180703A","09",0
"130","BAYEUX","250180703A","10",11.2
"131","BAYEUX","250180703A","11",0.8
"132","BAYEUX","250180703A","12",2.2
"133","BAYEUX","250180703A","13",0
"134","BAYEUX","250180703A","14",9.6
"135","BAYEUX","250180703A","15",0.2
"136","BAYEUX","250180703A","16",0
"137","BAYEUX","250180703A","17",3.8
"138","BAYEUX","250180703A","18",11
"139","BAYEUX","250180703A","19",0.8
"140","BAYEUX","250180703A","20",0.2
"141","BAYEUX","250180703A","21",7.2
"142","BAYEUX","250180703A","22",16.2
"143","BAYEUX","250180703A","23",15.6
"144","BAYEUX","250180703A","24",1.8
"145","BAYEUX","250180703A","25",59.8
"146","BAYEUX","250180703A","26",0.2
"147","BAYEUX","250180703A","27",0.6
"148","BAYEUX","250180703A","28",6.4
"149","BAYEUX","250180703A","29",55.4
"150","BAYEUX","250180703A","30",15
"151","CAAPORÃ","250300101A","01",4.2
"152","CAAPORÃ","250300101A","02",2.6
"153","CAAPORÃ","250300101A","03",1.2
"154","CAAPORÃ","250300101A","04",19.4
"155","CAAPORÃ","250300101A","05",5
"156","CAAPORÃ","250300101A","06",11.6
"157","CAAPORÃ","250300101A","07",21
"158","CAAPORÃ","250300101A","08",6.6
"159","CAAPORÃ","250300101A","09",0
"160","CAAPORÃ","250300101A","10",8.2
"161","CAAPORÃ","250300101A","11",0
"162","CAAPORÃ","250300101A","12",8.6
"163","CAAPORÃ","250300101A","13",0
"164","CAAPORÃ","250300101A","14",10.2
"165","CAAPORÃ","250300101A","15",9.8
"166","CAAPORÃ","250300101A","16",0
"167","CAAPORÃ","250300101A","17",3.8
"168","CAAPORÃ","250300101A","18",14.4
"169","CAAPORÃ","250300101A","19",3.6
