;municipio;codEstacao;PrecM
1;ABREU E LIMA;260005401A;425,16
2;ABREU E LIMA;260005402A;372,56
3;AFOGADOS DA INGAZEIRA;260010401A;0,4
4;ALTINHO;260080701A;65
5;ALTINHO;260080702A;73,91
6;BARRA DE GUABIRABA;260130001A;156,7
7;BARREIROS;260140901A;0
8;BARREIROS;260140901H;229,8
9;BARREIROS;260140902A;250,22
10;BELÉM DE MARIA;260150802A;195,62
11;BEZERROS;260190401A;48,42
12;BEZERROS;260190401C;2
13;BOM JARDIM;260220901A;231,07
14;BREJÃO;260240701C;42,8
15;BUENOS AIRES;260270401A;136,59
16;BUÍQUE;260280301A;132,89
17;CABO DE SANTO AGOSTINHO;260290201G;452
18;CABO DE SANTO AGOSTINHO;260290202A;464,27
19;CABO DE SANTO AGOSTINHO;260290203A;429,08
20;CABO DE SANTO AGOSTINHO;260290204A;480,35
21;CABO DE SANTO AGOSTINHO;260290205A;392,06
22;CABROBÓ;260300901A;93,33
23;CACHOEIRINHA;260310801A;78,69
24;CAETÉS;260320701A;136,09
25;CALÇADO;260330601A;116,19
26;CAMARAGIBE;260345401A;454,01
27;CAMARAGIBE;260345402A;396,05
28;CAMARAGIBE;260345403A;436,84
29;CAMARAGIBE;260345404A;412,74
30;CAMARAGIBE;260345405A;407,34
31;CAMARAGIBE;260345406A;343,93
32;CAMOCIM DE SÃO FÉLIX;260350401A;125,89
33;CAPOEIRAS;260380101A;230,95
34;CARUARU;260410601A;62,05
35;CARUARU;260410602A;67,4
36;CARUARU;260410603A;44,56
37;CARUARU;260410605A;71,23
38;CARUARU;260410606A;129,46
39;CARUARU;260410607A;80,8
40;CASINHAS;260415501A;50,66
41;CATENDE;260420502A;234,61
42;CATENDE;260420503A;189,17
43;CATENDE;260420504A;283,75
44;CHÃ GRANDE;260450201A;189
45;CORRENTES;260470001A;200,97
46;CORTÊS;260480901A;328,45
47;CUSTÓDIA;260510301A;68,22
48;ESCADA;260520201A;414,8
49;FLORES;260560801A;163,05
50;FLORESTA;260570701A;37,6
51;FLORESTA;260570702A;88,91
52;GAMELEIRA;260590501A;289,31
53;GOIANA;260620001A;188
54;GOIANA;260620002A;226
55;IATI;260650701A;29,86
56;IBIMIRIM;260660601A;104,64
57;IBIMIRIM;260660601C;117,6
58;IGARASSU;260680403A;364,66
59;IGARASSU;260680404A;414,81
60;IGARASSU;260680405A;472,3
61;IPOJUCA;260720801A;421,7
62;IPOJUCA;260720801G;411,6
63;IPOJUCA;260720802A;80,8
64;IPOJUCA;260720804A;343,67
65;IPUBI;260730701A;103,21
66;IPUBI;260730702A;90,12
67;IPUBI;260730703A;14,6
68;ITACURUBA;260740601C;59,6
69;JABOATÃO DOS GUARARAPES;260790101A;490,08
70;JABOATÃO DOS GUARARAPES;260790101G;432,4
71;JABOATÃO DOS GUARARAPES;260790102A;513,01
72;JABOATÃO DOS GUARARAPES;260790102G;521,2
73;JABOATÃO DOS GUARARAPES;260790103A;133,58
74;JABOATÃO DOS GUARARAPES;260790103G;488,6
75;JABOATÃO DOS GUARARAPES;260790104A;350,6
76;JABOATÃO DOS GUARARAPES;260790104G;498
77;JABOATÃO DOS GUARARAPES;260790106A;486,59
78;JABOATÃO DOS GUARARAPES;260790107A;443,5
79;JABOATÃO DOS GUARARAPES;260790108A;491,33
80;JABOATÃO DOS GUARARAPES;260790109A;372,33
81;JAQUEIRA;260795001A;237,36
82;JAQUEIRA;260795004H;253,8
83;JUREMA;260840401A;61,6
84;LAGOA DO OURO;260860201A;116,12
85;LAGOA DOS GATOS;260870101A;107,07
86;LAGOA GRANDE;260875001A;74,9
87;LAJEDO;260880001A;124
88;LAJEDO;260880001C;0
89;MACHADOS;260910501A;180,28
90;MARAIAL;260920401A;235,15
91;MARAIAL;260920402A;195,52
92;MOREILÂNDIA;261430301A;68,6
93;MORENO;260940201A;170,67
94;MORENO;260940202A;295
95;NAZARÉ DA MATA;260950101A;102,13
96;NAZARÉ DA MATA;260950102A;89,29
97;NAZARÉ DA MATA;260950103A;158,66
98;OLINDA;260960001A;461,35
99;OLINDA;260960001G;443,4
100;OLINDA;260960002A;551,6
101;OLINDA;260960003A;411,53
102;OLINDA;260960004A;337,67
103;OLINDA;260960005A;337,64
104;OROBÓ;260970901C;158,8
105;OROCÓ;260980801A;50,55
106;PALMARES;261000402A;0
107;PALMARES;261000403A;313,47
108;PALMEIRINA;261010301A;223,09
109;PARANATAMA;261030101A;172,48
110;PAULISTA;261070702A;290,15
111;PAULISTA;261070703A;451,5
112;PAULISTA;261070704A;322,33
113;PAULISTA;261070705A;329,71
114;PEDRA;261080601A;133,86
115;PETROLINA;261110101A;61,8
116;PETROLINA;261110102A;55,6
117;PETROLINA;261110103A;91,6
118;PETROLINA;261110103C;0
119;PETROLINA;261110104A;83,6
120;POMBOS;261130901A;147,4
121;POÇÃO;261120001A;76,8
122;PRIMAVERA;261140801A;0,4
123;QUIPAPÁ;261150701A;138,93
124;QUIPAPÁ;261150702A;173,67
125;RECIFE;261160601A;430
126;RECIFE;261160603A;464,97
127;RECIFE;261160603G;422,4
128;RECIFE;261160604A;451,1
129;RECIFE;261160604G;341
130;RECIFE;261160605A;453,15
131;RECIFE;261160605G;450,4
132;RECIFE;261160606A;502,14
133;RECIFE;261160606G;400,8
134;RECIFE;261160607A;469,79
135;RECIFE;261160609A;372,37
136;RECIFE;261160609G;458,4
137;RECIFE;261160610A;492,73
138;RECIFE;261160611G;447,8
139;RECIFE;261160613A;436,07
140;RECIFE;261160614A;448,92
141;RECIFE;261160615A;416,33
142;RECIFE;261160617A;416,96
143;RECIFE;261160618A;471,75
144;RECIFE;261160619A;505,68
145;RECIFE;261160620A;428
146;RECIFE;261160621A;416,8
147;RECIFE;261160623A;453,84
148;RIBEIRÃO;261180401A;290,45
149;RIO FORMOSO;261190301A;321,6
150;RIO FORMOSO;261190302A;275,15
151;SAIRÉ;261200001A;102,8
152;SANHARÓ;261240601A;94
153;SANTA CRUZ DO CAPIBARIBE;261250501A;14,65
154;SANTA MARIA DO CAMBUCÁ;261270301A;63,92
155;SERRA TALHADA;261390901C;2
156;SERTÂNIA;261410501C;84,6
157;SIRINHAÉM;261420401A;277,08
158;SÃO BENEDITO DO SUL;261290101A;151,8
159;SÃO BENTO DO UNA;261300801C;86,6
160;SÃO JOAQUIM DO MONTE;261330501A;73,97
161;SÃO JOAQUIM DO MONTE;261330501U;134
162;SÃO JOSÉ DO EGITO;261360201C;0
163;SÃO LOURENÇO DA MATA;261370101A;386,99
164;SÃO LOURENÇO DA MATA;261370102A;290,81
165;SÃO LOURENÇO DA MATA;261370103A;291,26
166;SÃO LOURENÇO DA MATA;261370104A;416,2
167;SÃO VICENTE FERRER;261380001A;109,43
168;TAMANDARÉ;261485702A;257,41
169;TAQUARITINGA DO NORTE;261500301C;15
170;TEREZINHA;261510201A;87,51
171;TRINDADE;261560701U;0
172;TUPARETAMA;261590401C;0
173;VICÊNCIA;261630801A;129,52
174;VITÓRIA DE SANTO ANTÃO;261640702A;127,2
175;VITÓRIA DE SANTO ANTÃO;261640703A;120,75
176;VITÓRIA DE SANTO ANTÃO;261640704A;124,41
177;XEXÉU;261650601A;306,88
178;ÁGUA PRETA;260040101A;374,1
179;ÁGUAS BELAS;260050001A;75,2
180;ÁGUAS BELAS;260050002A;3,54
