"","municipio","codEstacao","PrecM"
"1","ABREU E LIMA","260005401A",16.19
"2","ALAGOINHA","260060901U",0.6
"3","ALTINHO","260080701A",45.4
"4","ARCOVERDE","260120101C",1.2
"5","BARRA DE GUABIRABA","260130001A",87.18
"6","BARREIROS","260140901A",156.69
"7","BARREIROS","260140901H",0.2
"8","BARREIROS","260140902A",146.66
"9","BELÉM DE MARIA","260150802A",92.14
"10","BEZERROS","260190401A",14.34
"11","BODOCÓ","260200101C",7.8
"12","BOM CONSELHO","260210001C",52.4
"13","BREJO DA MADRE DE DEUS","260260501C",13.8
"14","BREJÃO","260240701C",107.6
"15","CABO DE SANTO AGOSTINHO","260290202A",119.84
"16","CABO DE SANTO AGOSTINHO","260290203A",161.8
"17","CABO DE SANTO AGOSTINHO","260290204A",239.9
"18","CABO DE SANTO AGOSTINHO","260290205A",185.29
"19","CABROBÓ","260300901A",3.19
"20","CACHOEIRINHA","260310801A",35.87
"21","CAETÉS","260320701C",26.2
"22","CAMARAGIBE","260345401A",119.74
"23","CAMARAGIBE","260345402A",121.67
"24","CAMARAGIBE","260345403A",121.68
"25","CAMARAGIBE","260345404A",129.95
"26","CAMARAGIBE","260345405A",131.1
"27","CAMARAGIBE","260345406A",113.35
"28","CARUARU","260410601A",32.17
"29","CARUARU","260410602A",26
"30","CARUARU","260410603A",19.46
"31","CARUARU","260410604A",23.71
"32","CARUARU","260410605A",32.31
"33","CARUARU","260410606A",97.06
"34","CARUARU","260410607A",30
"35","CATENDE","260420501A",102.63
"36","CATENDE","260420502A",102.72
"37","CATENDE","260420503A",131.43
"38","CEDRO","260430401C",0
"39","CHÃ GRANDE","260450201A",75.6
"40","CORRENTES","260470001A",112.52
"41","CORRENTES","260470001C",13.4
"42","CORTÊS","260480901A",104.09
"43","DORMENTES","260515201C",3.4
"44","ESCADA","260520201A",87.87
"45","ESCADA","260520202H",92.4
"46","EXU","260530101C",0.4
"47","FLORESTA","260570701A",3.8
"48","FLORESTA","260570701C",0.4
"49","FREI MIGUELINHO","260580601C",37.4
"50","GAMELEIRA","260590501A",91.77
"51","GARANHUNS","260600201C",40.4
"52","GOIANA","260620001A",71.4
"53","GOIANA","260620002A",83.4
"54","GOIANA","260620003H",65.4
"55","GRANITO","260630901C",0
"56","GRAVATÁ","260640801C",16
"57","IBIMIRIM","260660601A",26.09
"58","IBIMIRIM","260660601C",4.6
"59","IGARASSU","260680403A",84.72
"60","IGARASSU","260680404A",116.13
"61","IGARASSU","260680405A",117.03
"62","INAJÁ","260700001C",5.4
"63","INGAZEIRA","260710901U",0
"64","IPOJUCA","260720801A",129.13
"65","IPOJUCA","260720802A",126.73
"66","IPOJUCA","260720803A",121.18
"67","IPOJUCA","260720804A",127.28
"68","IPUBI","260730701A",5.4
"69","IPUBI","260730702A",6.55
