"","municipio","codEstacao","Dia","PrecD"
"1","Barras","220120001A","01",0
"2","Barras","220120001A","02",0
"3","Barras","220120001A","03",0
"4","Barras","220120001A","04",0
"5","Barras","220120001A","05",0
"6","Barras","220120001A","06",0
"7","Barras","220120001A","07",0
"8","Barras","220120001A","08",0
"9","Barras","220120001A","09",0
"10","Barras","220120001A","10",0
"11","Barras","220120001A","11",0
"12","Barras","220120001A","12",0
"13","Barras","220120001A","13",0
"14","Barras","220120001A","14",2.160341801
"15","Barras","220120001A","15",7.503407843
"16","Barras","220120001A","16",16.291063741
"17","Barras","220120001A","17",0.6
"18","Barras","220120001A","18",0
"19","Barras","220120001A","19",0
"20","Barras","220120001A","20",3.348617152
"21","Barras","220120001A","21",11.813766475
"22","Barras","220120001A","22",0
"23","Barras","220120001A","23",0
"24","Barras","220120001A","24",0.2
"25","Barras","220120001A","25",0.4
"26","Barras","220120001A","26",0
"27","Barras","220120001A","27",1.975940148
"28","Barras","220120001A","28",0
"29","Barras","220120001A","29",0
"30","Barras","220120001A","30",0
"31","Campo Maior","220220801A","01",0
"32","Campo Maior","220220801A","02",0
"33","Campo Maior","220220801A","03",0.2
"34","Campo Maior","220220801A","04",0
"35","Campo Maior","220220801A","05",0
"36","Campo Maior","220220801A","06",0
"37","Campo Maior","220220801A","07",0
"38","Campo Maior","220220801A","08",0
"39","Campo Maior","220220801A","09",0
"40","Campo Maior","220220801A","10",0
"41","Campo Maior","220220801A","11",0
"42","Campo Maior","220220801A","12",0
"43","Campo Maior","220220801A","13",0
"44","Campo Maior","220220801A","14",0
"45","Campo Maior","220220801A","15",0
"46","Campo Maior","220220801A","16",2.753425769
"47","Campo Maior","220220801A","17",0.39268
"48","Campo Maior","220220801A","18",0
"49","Campo Maior","220220801A","19",0.790913834
"50","Campo Maior","220220801A","20",0
"51","Campo Maior","220220801A","21",0
"52","Campo Maior","220220801A","22",0.4
"53","Campo Maior","220220801A","23",0
"54","Campo Maior","220220801A","24",0
"55","Campo Maior","220220801A","25",0
"56","Campo Maior","220220801A","26",0
"57","Campo Maior","220220801A","27",0
"58","Campo Maior","220220801A","28",0
"59","Campo Maior","220220801A","29",0
"60","Campo Maior","220220801A","30",0
"61","Esperantina","220370101A","01",0
"62","Esperantina","220370101A","02",0
"63","Esperantina","220370101A","03",0
"64","Esperantina","220370101A","04",0
"65","Esperantina","220370101A","05",0
"66","Esperantina","220370101A","06",0.98902
"67","Esperantina","220370101A","07",0
"68","Esperantina","220370101A","08",0
"69","Esperantina","220370101A","09",0
"70","Esperantina","220370101A","10",0
"71","Esperantina","220370101A","11",0.2
"72","Esperantina","220370101A","12",0
"73","Esperantina","220370101A","13",0
"74","Esperantina","220370101A","14",37.066694414
"75","Esperantina","220370101A","15",45.941453713
"76","Esperantina","220370101A","16",14.09973708
"77","Esperantina","220370101A","17",0.2
"78","Esperantina","220370101A","18",0
"79","Esperantina","220370101A","19",12.763153049
"80","Esperantina","220370101A","20",0
"81","Esperantina","220370101A","21",48.605110822
"82","Esperantina","220370101A","22",0
"83","Esperantina","220370101A","23",0
"84","Esperantina","220370101A","24",0
"85","Esperantina","220370101A","25",4.340600295
"86","Esperantina","220370101A","26",0
"87","Esperantina","220370101A","27",2.559658384
"88","Esperantina","220370101A","28",0
"89","Esperantina","220370101A","29",0
"90","Esperantina","220370101A","30",0
