"","municipio","codEstacao","PrecM"
"1","ACAUÃ","220005301U",0.6
"2","ALTO LONGÁ","220030101A",26
"3","BARRAS","220120001A",6.91
"4","BATALHA","220150701A",11.4
"5","BETÂNIA DO PIAUÍ","220173901C",6
"6","BOM JESUS","220190301U",4
"7","BOQUEIRÃO DO PIAUÍ","220194501A",34.4
"8","BURITI DOS LOPES","220200001A",182
"9","BURITI DOS MONTES","220202601C",0.8
"10","CAJUEIRO DA PRAIA","220208301A",36.8
"11","CAMPO MAIOR","220220801A",60.92
"12","CASTELO DO PIAUÍ","220260401A",0.4
"13","CASTELO DO PIAUÍ","220260401C",3.8
"14","CAXINGÓ","220265301A",25.4
"15","COCAL","220270301A",67.6
"16","CURRAIS","220323001C",0.6
"17","ESPERANTINA","220370101A",16.36
"18","FLORIANO","220390901A",2
"19","FLORIANO","220390902A",1.2
"20","FRONTEIRAS","220430301C",1.2
"21","ILHA GRANDE","220465901A",101.4
"22","INHUMA","220470901C",0.6
"23","IPIRANGA DO PIAUÍ","220480801U",3.2
"24","JAICÓS","220520101U",3.4
"25","LAGOA DO BARRO DO PIAUÍ","220556501C",0.2
"26","LUZILÂNDIA","220580501A",35
"27","MATIAS OLÍMPIO","220610001A",17.8
"28","MIGUEL ALVES","220620901A",36
"29","NAZARÉ DO PIAUÍ","220670401C",2
"30","NOVA SANTA RITA","220795901C",1.4
"31","OEIRAS","220700901C",3.4
"32","PADRE MARCOS","220720701C",0.2
"33","PARNAÍBA","220770201A",92.6
"34","PARNAÍBA","220770202A",83.6
"35","PARNAÍBA","220770203A",150.4
"36","PAULISTANA","220780101C",0.8
"37","PIRACURUCA","220830401A",27.8
"38","PIRACURUCA","220830401C",20.8
"39","SANTA CRUZ DOS MILAGRES","220915301A",0.8
"40","SANTA ROSA DO PIAUÍ","220937701C",0.8
"41","SANTO INÁCIO DO PIAUÍ","220950001C",0.8
"42","SEBASTIÃO LEAL","221063101C",23.2
"43","SIMÕES","221070601C",1.6
"44","SÃO FRANCISCO DE ASSIS DO PIAUÍ","220965801C",1.8
"45","SÃO JOSÉ DO DIVINO","221005201A",43.4
"46","SÃO JOÃO DA FRONTEIRA","220987201C",3
"47","SÃO JULIÃO","221030001C",1.8
"48","TERESINA","221100101A",10.8
"49","TERESINA","221100102A",28.2
"50","TERESINA","221100103A",6.2
"51","TERESINA","221100104A",14.8
"52","UNIÃO","221110001A",8.6
"53","URUÇUÍ","221120901A",7.4
"54","VALENÇA DO PIAUÍ","221130801C",0.4
