"","municipio","codEstacao","Dia","PrecD"
"1","AFONSO BEZERRA","240030701C","01",0
"2","AFONSO BEZERRA","240030701C","02",0
"3","AFONSO BEZERRA","240030701C","03",0
"4","AFONSO BEZERRA","240030701C","04",0
"5","AFONSO BEZERRA","240030701C","05",0
"6","AFONSO BEZERRA","240030701C","06",12
"7","AFONSO BEZERRA","240030701C","07",14.6
"8","AFONSO BEZERRA","240030701C","08",0
"9","AFONSO BEZERRA","240030701C","09",0
"10","AFONSO BEZERRA","240030701C","10",2.2
"11","AFONSO BEZERRA","240030701C","11",1
"12","AFONSO BEZERRA","240030701C","12",0
"13","AFONSO BEZERRA","240030701C","13",0
"14","AFONSO BEZERRA","240030701C","14",0
"15","AFONSO BEZERRA","240030701C","15",0
"16","AFONSO BEZERRA","240030701C","16",0
"17","AFONSO BEZERRA","240030701C","17",0
"18","AFONSO BEZERRA","240030701C","18",0
"19","AFONSO BEZERRA","240030701C","19",0
"20","AFONSO BEZERRA","240030701C","20",0
"21","AFONSO BEZERRA","240030701C","21",0
"22","AFONSO BEZERRA","240030701C","22",0
"23","AFONSO BEZERRA","240030701C","23",0
"24","AFONSO BEZERRA","240030701C","24",0
"25","AFONSO BEZERRA","240030701C","25",0
"26","AFONSO BEZERRA","240030701C","26",0
"27","AFONSO BEZERRA","240030701C","27",0
"28","AFONSO BEZERRA","240030701C","28",0
"29","AFONSO BEZERRA","240030701C","29",0
"30","AFONSO BEZERRA","240030701C","30",0
"31","AFONSO BEZERRA","240030701C","31",0
"32","ALTO DO RODRIGUES","240070301A","01",0
"33","ALTO DO RODRIGUES","240070301A","02",0
"34","ALTO DO RODRIGUES","240070301A","03",0
"35","ALTO DO RODRIGUES","240070301A","04",0
"36","ALTO DO RODRIGUES","240070301A","05",0
"37","ALTO DO RODRIGUES","240070301A","06",13.22
"38","ALTO DO RODRIGUES","240070301A","07",15.74
"39","ALTO DO RODRIGUES","240070301A","08",0
"40","ALTO DO RODRIGUES","240070301A","09",0
"41","ALTO DO RODRIGUES","240070301A","10",0
"42","ALTO DO RODRIGUES","240070301A","11",0
"43","ALTO DO RODRIGUES","240070301A","12",0
"44","ALTO DO RODRIGUES","240070301A","13",0
"45","ALTO DO RODRIGUES","240070301A","14",0
"46","ALTO DO RODRIGUES","240070301A","15",0
"47","ALTO DO RODRIGUES","240070301A","16",0
"48","ALTO DO RODRIGUES","240070301A","17",0
"49","ALTO DO RODRIGUES","240070301A","18",0
"50","ALTO DO RODRIGUES","240070301A","19",0
"51","ALTO DO RODRIGUES","240070301A","20",0
"52","ALTO DO RODRIGUES","240070301A","21",0
"53","ALTO DO RODRIGUES","240070301A","22",0
"54","ALTO DO RODRIGUES","240070301A","23",0
"55","ALTO DO RODRIGUES","240070301A","24",0
"56","ALTO DO RODRIGUES","240070301A","25",0
"57","ALTO DO RODRIGUES","240070301A","26",0
"58","ALTO DO RODRIGUES","240070301A","27",0
"59","ALTO DO RODRIGUES","240070301A","28",0
"60","ALTO DO RODRIGUES","240070301A","29",0
"61","ALTO DO RODRIGUES","240070301A","30",0
"62","ALTO DO RODRIGUES","240070301A","31",0
"63","ANTÔNIO MARTINS","240090101C","01",0
"64","ANTÔNIO MARTINS","240090101C","02",0
"65","ANTÔNIO MARTINS","240090101C","04",0
"66","ANTÔNIO MARTINS","240090101C","05",0
"67","ANTÔNIO MARTINS","240090101C","06",0
"68","ANTÔNIO MARTINS","240090101C","07",0
"69","ANTÔNIO MARTINS","240090101C","08",0
"70","ANTÔNIO MARTINS","240090101C","10",0
"71","ANTÔNIO MARTINS","240090101C","11",0
"72","ANTÔNIO MARTINS","240090101C","12",0
"73","ANTÔNIO MARTINS","240090101C","13",0
"74","ANTÔNIO MARTINS","240090101C","14",0
"75","ANTÔNIO MARTINS","240090101C","16",0
"76","ANTÔNIO MARTINS","240090101C","17",0
"77","ANTÔNIO MARTINS","240090101C","18",0
"78","ANTÔNIO MARTINS","240090101C","19",0
"79","ANTÔNIO MARTINS","240090101C","20",0
"80","ANTÔNIO MARTINS","240090101C","21",0
"81","ANTÔNIO MARTINS","240090101C","23",0
"82","ANTÔNIO MARTINS","240090101C","24",0
"83","ANTÔNIO MARTINS","240090101C","25",0
"84","ANTÔNIO MARTINS","240090101C","26",0
"85","ANTÔNIO MARTINS","240090101C","27",0
"86","ANTÔNIO MARTINS","240090101C","28",0
"87","ANTÔNIO MARTINS","240090101C","29",0
"88","ANTÔNIO MARTINS","240090101C","30",0
"89","ANTÔNIO MARTINS","240090101C","31",0
"90","APODI","240100801A","01",0
"91","APODI","240100801A","02",0
"92","APODI","240100801A","03",0
"93","APODI","240100801A","04",0
"94","APODI","240100801A","05",0
"95","APODI","240100801A","06",0
"96","APODI","240100801A","07",0
"97","APODI","240100801A","08",6.89
"98","APODI","240100801A","09",0
"99","APODI","240100801A","10",0
"100","APODI","240100801A","11",0.2
"101","APODI","240100801A","12",0
"102","APODI","240100801A","13",0
"103","APODI","240100801A","14",0
"104","APODI","240100801A","15",0
"105","APODI","240100801A","16",0
"106","APODI","240100801A","17",0
"107","APODI","240100801A","18",0
"108","APODI","240100801A","19",0
"109","APODI","240100801A","20",0
"110","APODI","240100801A","21",0
"111","APODI","240100801A","22",0
"112","APODI","240100801A","23",0
"113","APODI","240100801A","24",0
"114","APODI","240100801A","25",0
"115","APODI","240100801A","26",0
"116","APODI","240100801A","27",0
"117","APODI","240100801A","28",0
"118","APODI","240100801A","29",0
"119","APODI","240100801A","30",0
"120","APODI","240100801A","31",0
"121","AUGUSTO SEVERO","240130501C","01",0
"122","AUGUSTO SEVERO","240130501C","02",0
"123","AUGUSTO SEVERO","240130501C","03",0.4
"124","AUGUSTO SEVERO","240130501C","04",0.2
"125","AUGUSTO SEVERO","240130501C","05",0
"126","AUGUSTO SEVERO","240130501C","06",1
"127","AUGUSTO SEVERO","240130501C","07",0.4
"128","AUGUSTO SEVERO","240130501C","08",0
"129","AUGUSTO SEVERO","240130501C","09",0
"130","AUGUSTO SEVERO","240130501C","10",0
"131","AUGUSTO SEVERO","240130501C","11",0
"132","AUGUSTO SEVERO","240130501C","12",0
"133","AUGUSTO SEVERO","240130501C","13",0
"134","AUGUSTO SEVERO","240130501C","14",0
"135","AUGUSTO SEVERO","240130501C","15",0
"136","AUGUSTO SEVERO","240130501C","16",0
"137","AUGUSTO SEVERO","240130501C","17",0
"138","AUGUSTO SEVERO","240130501C","18",0
"139","AUGUSTO SEVERO","240130501C","19",0
"140","AUGUSTO SEVERO","240130501C","20",0
"141","AUGUSTO SEVERO","240130501C","21",0
"142","AUGUSTO SEVERO","240130501C","22",0
"143","AUGUSTO SEVERO","240130501C","23",0
"144","AUGUSTO SEVERO","240130501C","24",0
