"","municipio","codEstacao","PrecM"
"1","AFONSO BEZERRA","240030701C",16.8
"2","ALTO DO RODRIGUES","240070301A",17
"3","ANTÔNIO MARTINS","240090101C",0
"4","APODI","240100801A",7.48
"5","AUGUSTO SEVERO","240130501C",14.6
"6","AÇU","240020801A",25.73
"7","BAÍA FORMOSA","240140401A",104.43
"8","CAICÓ","240200601A",3.19
"9","CAICÓ","240200601C",1.2
"10","CANGUARETAMA","240220401A",91.18
"11","CANGUARETAMA","240220402A",144.87
"12","CARAÚBAS","240230301C",5.6
"13","CARNAUBAIS","240250101A",0
"14","CEARÁ-MIRIM","240260001A",152.65
"15","CURRAIS NOVOS","240310301U",8.6
"16","EXTREMOZ","240360801A",199.22
"17","GOIANINHA","240420001A",101.75
"18","GUAMARÉ","240450701A",33.61
"19","IELMO MARINHO","240460601U",12.2
"20","IPANGUAÇU","240470501A",11.64
"21","JARDIM DE PIRANHAS","240560301A",9.25
"22","JARDIM DO SERIDÓ","240570201C",0.2
"23","JOÃO CÂMARA","240580101A",80.86
"24","JOÃO CÂMARA","240580101C",60.4
"25","JUCURUTU","240610601A",0.2
"26","LAGOA NOVA","240650201C",17.8
"27","MACAU","240720301A",34.73
"28","MARCELINO VIEIRA","240730201C",0
"29","MAXARANGUAPE","240750001A",204.56
"30","MOSSORÓ","240800302A",25.1
"31","MOSSORÓ","240800303A",22.62
"32","MOSSORÓ","240800304A",22.52
"33","MOSSORÓ","240800305A",0
"34","MOSSORÓ","240800306A",0
"35","MOSSORÓ","240800307A",28.3
"36","MOSSORÓ","240800308A",39.78
"37","NATAL","240810201A",244.33
"38","NATAL","240810202A",219.42
"39","NATAL","240810203A",228.99
"40","NATAL","240810204A",227.58
"41","NATAL","240810205A",235.27
"42","NATAL","240810206A",211.44
"43","NATAL","240810207A",0
"44","NATAL","240810208A",78.26
"45","NOVA CRUZ","240830001C",49.8
"46","PARELHAS","240890401C",7.2
"47","PATU","240930801A",0
"48","PENDÊNCIAS","240990201A",63.42
"49","PORTO DO MANGUE","241025601A",13.59
"50","RIACHO DE SANTANA","241080101C",19.4
"51","SANTA CRUZ","241120501C",33
"52","SERRA DO MEL","241335901U",12.6
"53","SÃO JOSÉ DE MIPIBU","241220301A",181.04
"54","SÃO JOSÉ DE MIPIBU","241220302A",66.76
"55","SÃO MIGUEL","241250001C",22.6
"56","SÃO PAULO DO POTENGI","241260901C",66.6
"57","SÃO RAFAEL","241280701A",18.4
"58","SÃO RAFAEL","241280701U",19.2
"59","SÃO TOMÉ","241290601C",38.2
"60","TAIPU","241390401C",0
"61","TOUROS","241440701A",201.55
"62","VÁRZEA","241470401A",48.61
