"","municipio","codEstacao","Dia","PrecD"
"1","AQUIDABÃ","280020901C","01",0.2
"2","AQUIDABÃ","280020901C","02",0.6
"3","AQUIDABÃ","280020901C","03",0.6
"4","AQUIDABÃ","280020901C","04",0.4
"5","AQUIDABÃ","280020901C","05",0.6
"6","AQUIDABÃ","280020901C","06",0.4
"7","AQUIDABÃ","280020901C","07",0.4
"8","AQUIDABÃ","280020901C","08",0.4
"9","AQUIDABÃ","280020901C","09",0.2
"10","AQUIDABÃ","280020901C","10",0.4
"11","AQUIDABÃ","280020901C","11",0.4
"12","AQUIDABÃ","280020901C","12",0.2
"13","AQUIDABÃ","280020901C","13",0.2
"14","AQUIDABÃ","280020901C","14",0
"15","AQUIDABÃ","280020901C","15",0
"16","AQUIDABÃ","280020901C","16",0
"17","AQUIDABÃ","280020901C","17",1.4
"18","AQUIDABÃ","280020901C","18",0.4
"19","AQUIDABÃ","280020901C","19",1
"20","AQUIDABÃ","280020901C","20",0.6
"21","AQUIDABÃ","280020901C","21",0.8
"22","AQUIDABÃ","280020901C","22",0.6
"23","AQUIDABÃ","280020901C","23",0.4
"24","AQUIDABÃ","280020901C","24",0.2
"25","AQUIDABÃ","280020901C","25",0.6
"26","AQUIDABÃ","280020901C","26",0.4
"27","AQUIDABÃ","280020901C","27",0.4
"28","AQUIDABÃ","280020901C","28",1
"29","AQUIDABÃ","280020901C","29",0.6
"30","AQUIDABÃ","280020901C","30",0
"31","AQUIDABÃ","280020901C","31",0.2
"32","ARACAJU","280030801A","01",9.4
"33","ARACAJU","280030801A","02",15
"34","ARACAJU","280030801A","03",6.4
"35","ARACAJU","280030801A","04",1
"36","ARACAJU","280030801A","05",2.6
"37","ARACAJU","280030801A","06",6.8
"38","ARACAJU","280030801A","07",0
"39","ARACAJU","280030801A","08",6
"40","ARACAJU","280030801A","09",0.4
"41","ARACAJU","280030801A","10",6.8
"42","ARACAJU","280030801A","11",0
"43","ARACAJU","280030801A","12",4.2
"44","ARACAJU","280030801A","13",0
"45","ARACAJU","280030801A","14",0
"46","ARACAJU","280030801A","15",4.6
"47","ARACAJU","280030801A","16",0
"48","ARACAJU","280030801A","17",7.8
"49","ARACAJU","280030801A","18",0.2
"50","ARACAJU","280030801A","19",19.8
"51","ARACAJU","280030801A","20",16.4
"52","ARACAJU","280030801A","21",3.4
"53","ARACAJU","280030801A","22",0
"54","ARACAJU","280030801A","23",0
"55","ARACAJU","280030801A","24",1.4
"56","ARACAJU","280030801A","25",14
"57","ARACAJU","280030801A","26",0.6
"58","ARACAJU","280030801A","27",2
"59","ARACAJU","280030801A","28",13.4
"60","ARACAJU","280030801A","29",4.2
"61","ARACAJU","280030801A","30",0.8
"62","ARACAJU","280030801A","31",0
"63","ARACAJU","280030802A","01",9.4
"64","ARACAJU","280030802A","02",13
"65","ARACAJU","280030802A","03",8
"66","ARACAJU","280030802A","04",0
"67","ARACAJU","280030802A","05",1.8
"68","ARACAJU","280030802A","06",15
"69","ARACAJU","280030802A","07",1.4
"70","ARACAJU","280030802A","08",6.8
"71","ARACAJU","280030802A","09",0.8
"72","ARACAJU","280030802A","10",2.6
"73","ARACAJU","280030802A","11",0
"74","ARACAJU","280030802A","12",0
"75","ARACAJU","280030802A","13",0
"76","ARACAJU","280030802A","14",0
"77","ARACAJU","280030802A","15",1.4
"78","ARACAJU","280030802A","16",0.2
"79","ARACAJU","280030802A","17",3.8
"80","ARACAJU","280030802A","18",0
"81","ARACAJU","280030802A","19",11.8
"82","ARACAJU","280030802A","20",11.8
"83","ARACAJU","280030802A","21",0.4
"84","ARACAJU","280030802A","22",0
"85","ARACAJU","280030802A","23",0
"86","ARACAJU","280030802A","24",0.2
"87","ARACAJU","280030802A","25",1
"88","ARACAJU","280030802A","26",2
"89","ARACAJU","280030802A","27",6.6
"90","ARACAJU","280030802A","28",21.6
"91","ARACAJU","280030802A","29",1.2
"92","ARACAJU","280030802A","30",0.4
"93","ARACAJU","280030802A","31",0.2
"94","ARACAJU","280030803A","01",8
"95","ARACAJU","280030803A","02",22.2
"96","ARACAJU","280030803A","03",6.2
"97","ARACAJU","280030803A","04",0
"98","ARACAJU","280030803A","05",2.2
"99","ARACAJU","280030803A","06",9.6
"100","ARACAJU","280030803A","07",0.2
"101","ARACAJU","280030803A","08",5.8
"102","ARACAJU","280030803A","09",0
"103","ARACAJU","280030803A","10",5.6
"104","ARACAJU","280030803A","11",0
"105","ARACAJU","280030803A","12",0
"106","ARACAJU","280030803A","13",0
"107","ARACAJU","280030803A","14",0
"108","ARACAJU","280030803A","15",1
"109","ARACAJU","280030803A","16",0
"110","ARACAJU","280030803A","17",11
"111","ARACAJU","280030803A","18",0
"112","ARACAJU","280030803A","19",21.2
"113","ARACAJU","280030803A","20",18.4
"114","ARACAJU","280030803A","21",0
"115","ARACAJU","280030803A","22",0
"116","ARACAJU","280030803A","23",0
"117","ARACAJU","280030803A","24",1.4
"118","ARACAJU","280030803A","25",0.4
"119","ARACAJU","280030803A","26",7
"120","ARACAJU","280030803A","27",5.4
"121","ARACAJU","280030803A","28",23.4
"122","ARACAJU","280030803A","29",0.8
"123","ARACAJU","280030803A","30",1.4
"124","ARACAJU","280030803A","31",2
"125","ARACAJU","280030804A","01",0
"126","ARACAJU","280030804A","02",0
"127","ARACAJU","280030804A","03",0
"128","ARACAJU","280030804A","04",0
"129","ARACAJU","280030804A","05",0
"130","ARACAJU","280030804A","06",0
"131","ARACAJU","280030804A","07",0
"132","ARACAJU","280030804A","08",0
"133","ARACAJU","280030804A","09",0
"134","ARACAJU","280030804A","10",0
"135","ARACAJU","280030804A","11",0
"136","ARACAJU","280030804A","12",0
"137","ARACAJU","280030804A","13",0
"138","ARACAJU","280030804A","14",0
"139","ARACAJU","280030804A","15",0
"140","ARACAJU","280030804A","16",0
"141","ARACAJU","280030804A","17",0
"142","ARACAJU","280030804A","18",0
"143","ARACAJU","280030804A","19",0
"144","ARACAJU","280030804A","20",0
"145","ARACAJU","280030804A","21",0
"146","ARACAJU","280030804A","22",0
"147","ARACAJU","280030804A","23",0
"148","ARACAJU","280030804A","24",0
"149","ARACAJU","280030804A","25",0
"150","ARACAJU","280030804A","26",0
"151","ARACAJU","280030804A","27",0
"152","ARACAJU","280030804A","28",0
"153","ARACAJU","280030804A","29",0
"154","ARACAJU","280030804A","30",0
"155","ARACAJU","280030804A","31",0
"156","CANHOBA","280110801C","01",8.2
"157","CANHOBA","280110801C","02",7
"158","CANHOBA","280110801C","03",1.4
"159","CANHOBA","280110801C","04",0
"160","CANHOBA","280110801C","05",5.2
"161","CANHOBA","280110801C","06",2
"162","CANHOBA","280110801C","07",0
"163","CANHOBA","280110801C","08",1
"164","CANHOBA","280110801C","09",0.4
"165","CANHOBA","280110801C","10",1.6
"166","CANHOBA","280110801C","11",0
"167","CANHOBA","280110801C","12",0
"168","CANHOBA","280110801C","13",0.6
"169","CANHOBA","280110801C","14",0
"170","CANHOBA","280110801C","15",0
"171","CANHOBA","280110801C","16",1
"172","CANHOBA","280110801C","17",1.8
"173","CANHOBA","280110801C","18",0
"174","CANHOBA","280110801C","19",4.4
"175","CANHOBA","280110801C","20",2.6
"176","CANHOBA","280110801C","21",0.2
"177","CANHOBA","280110801C","22",0.6
"178","CANHOBA","280110801C","23",0
"179","CANHOBA","280110801C","24",0.6
"180","CANHOBA","280110801C","25",2.8
"181","CANHOBA","280110801C","26",0
"182","CANHOBA","280110801C","27",1
"183","CANHOBA","280110801C","28",2.6
"184","CANHOBA","280110801C","29",0
"185","CANHOBA","280110801C","30",0
"186","CANHOBA","280110801C","31",0.6
"187","CARIRA","280140501C","01",5
"188","CARIRA","280140501C","02",3.8
"189","CARIRA","280140501C","03",0.4
"190","CARIRA","280140501C","04",0
"191","CARIRA","280140501C","05",1.6
"192","CARIRA","280140501C","06",4
"193","CARIRA","280140501C","07",0
"194","CARIRA","280140501C","08",2.2
"195","CARIRA","280140501C","09",0
"196","CARIRA","280140501C","10",0.4
"197","CARIRA","280140501C","11",0
"198","CARIRA","280140501C","12",0
"199","CARIRA","280140501C","13",0
"200","CARIRA","280140501C","14",0.8
"201","CARIRA","280140501C","15",0
"202","CARIRA","280140501C","16",0
"203","CARIRA","280140501C","17",2.4
"204","CARIRA","280140501C","18",0.4
"205","CARIRA","280140501C","19",10
"206","CARIRA","280140501C","20",2.6
"207","CARIRA","280140501C","21",0
"208","CARIRA","280140501C","22",0
"209","CARIRA","280140501C","23",0
"210","CARIRA","280140501C","24",0.2
"211","CARIRA","280140501C","25",9.6
"212","CARIRA","280140501C","26",0
"213","CARIRA","280140501C","27",0
"214","CARIRA","280140501C","28",3.8
"215","CARIRA","280140501C","29",1.8
"216","CARIRA","280140501C","30",0
"217","CARIRA","280140501C","31",0
"218","FREI PAULO","280230401C","01",2.2
"219","FREI PAULO","280230401C","02",3.2
