"","municipio","codEstacao","PrecM"
"1","AQUIDABÃ","280020901C",12.4
"2","ARACAJU","280030801A",205.6
"3","ARACAJU","280030802A",216.2
"4","ARACAJU","280030803A",194.2
"5","ARACAJU","280030804A",0
"6","CANHOBA","280110801C",63.2
"7","CARIRA","280140501C",50.2
"8","FREI PAULO","280230401C",81.2
"9","GARARU","280240301C",34
"10","ITABI","280310401C",28.6
"11","MARUIM","280400301A",166.6
"12","NOSSA SENHORA APARECIDA","280445801C",49.2
"13","NOSSA SENHORA DAS DORES","280460701C",80.8
"14","PORTO DA FOLHA","280560401C",44.8
"15","POÇO REDONDO","280540601A",19.6
"16","POÇO REDONDO","280540601U",1
"17","POÇO VERDE","280550501U",77.4
"18","PROPRIÁ","280570301C",93
"19","RIBEIRÓPOLIS","280600801C",89.4
"20","TOBIAS BARRETO","280740201C",132.8
